request_id,timestamp,endpoint,http_method,user_segment,user_id,param_complexity,param_count,payload_size_kb,is_cached,server_load,downstream_count,downstream_degraded_count,downstream_max_latency_ms,downstream_total_latency_ms,has_downstream_degradation,has_downstream_outage,response_time_ms
req_176418,2026-05-01 18:04:11.826584,/api/auth/login,DELETE,internal,user_506,medium,6,24,True,0.47,2,0,52.24156159090681,74.6654696218656,False,False,402.9640128679004
req_811187,2026-05-01 18:07:26.826584,/api/auth/login,POST,regular,user_671,complex,15,79,False,0.63,2,0,35.30336157574028,60.107825062683844,False,False,656.6422297095282
req_665778,2026-05-01 18:10:08.826584,/api/inventory,DELETE,bot,user_297,medium,8,47,False,0.44,2,1,66.0,71.87865485018038,True,False,661.291846248181
req_436774,2026-05-01 18:11:58.826584,/api/search,GET,internal,user_108,simple,3,1,False,0.27,2,0,43.96704745768716,67.24725895253135,False,False,330.53418165158274
req_985945,2026-05-01 18:12:42.826584,/api/products,DELETE,bot,user_149,simple,3,3,False,0.77,2,0,31.71931766447772,50.73767173229036,False,False,167.9650084353811
req_713632,2026-05-01 18:19:07.826584,/api/payments,GET,bot,user_946,complex,15,132,True,0.73,3,0,108.57631775203565,181.7002840070809,False,False,1295.3276230270194
req_324466,2026-05-01 18:21:35.826584,/api/inventory,PUT,regular,user_320,simple,2,4,True,0.3,2,0,16.771518056940593,21.699778499381082,False,False,192.90910858900463
req_961694,2026-05-01 18:22:29.826584,/api/products,GET,regular,user_721,medium,4,22,False,0.8,2,0,44.65921514308441,63.12001346376296,False,False,195.79574592065097
req_870848,2026-05-01 18:25:43.826584,/api/reports,DELETE,regular,user_309,complex,12,171,False,0.41,3,0,55.53523994319891,124.79889047031642,False,False,1719.728989542485
req_224155,2026-05-01 18:34:45.826584,/api/products,DELETE,bot,user_399,simple,3,5,False,0.69,2,0,39.62121044764994,59.212484910730346,False,False,179.3068892174228
req_923312,2026-05-01 18:35:06.826584,/api/payments,PUT,internal,user_902,medium,7,50,True,0.21,3,0,92.57132218562643,165.60695249565504,False,False,578.5146716304797
req_326774,2026-05-01 18:36:30.826584,/api/search,GET,vip,user_822,medium,6,38,False,0.53,2,0,32.66912122534493,54.31538410200206,False,False,455.48732072196157
req_744211,2026-05-01 18:37:50.826584,/api/users,DELETE,bot,user_211,simple,1,5,False,0.52,2,0,13.311642178543227,18.88344509947683,False,False,240.7329221381549
req_787723,2026-05-01 18:38:17.826584,/api/auth/login,POST,internal,user_193,complex,12,168,False,0.79,2,0,47.68721943654066,70.37113580001983,False,False,544.282165369408
req_930858,2026-05-01 18:40:21.826584,/api/search,PUT,internal,user_935,simple,3,5,False,0.75,2,0,30.11759769946577,46.907877540006425,False,False,303.4864505114311
req_397644,2026-05-01 18:42:01.826584,/api/reports,PUT,vip,user_741,simple,1,3,True,0.2,3,0,50.541411612323266,112.14880248533466,False,False,736.6551587443238
req_671914,2026-05-01 18:42:24.826584,/api/auth/login,GET,vip,user_600,simple,1,8,False,0.76,2,1,400.0,426.0362233090044,False,True,1655.3799587432368
req_719482,2026-05-01 18:44:00.826584,/api/auth/login,POST,regular,user_984,complex,13,57,False,0.25,2,1,75.0,114.4372686434582,True,False,1066.9529131266684
req_987001,2026-05-01 18:47:50.826584,/api/reports,GET,internal,user_243,simple,1,10,True,0.65,3,0,43.12674098607846,93.85803823498792,False,False,2002.1885297636484
req_127094,2026-05-01 18:52:49.826584,/api/reports,POST,new,user_886,complex,11,66,False,0.75,3,0,51.84807196385667,109.05284253323153,False,False,1878.4929455233905
req_561428,2026-05-01 18:54:02.826584,/api/users,PUT,bot,user_828,simple,3,9,True,0.62,2,0,20.854735803094382,26.250886669067796,False,False,228.0339326420762
req_838442,2026-05-01 18:55:38.826584,/api/products,DELETE,internal,user_789,medium,8,22,False,0.56,2,0,28.90372471945633,54.23908041603765,False,False,151.88428634439256
req_249065,2026-05-01 18:56:54.826584,/api/products,POST,vip,user_223,simple,1,8,False,0.23,2,0,30.32108564588136,45.540803391821136,False,False,126.82285469082564
req_454370,2026-05-01 18:59:00.826584,/api/inventory,PUT,internal,user_277,simple,2,10,True,0.52,2,1,16.343557264355837,31.343557264355837,True,False,243.85842305471044
req_965823,2026-05-01 18:59:20.826584,/api/reports,GET,bot,user_172,medium,7,47,False,0.25,3,1,60.0,133.84185660092342,True,False,7537.427490295755
req_286940,2026-05-01 18:59:49.826584,/api/auth/login,GET,vip,user_490,medium,8,47,False,0.72,2,0,26.695792813323663,52.42985758135035,False,False,424.3753313273743
req_418148,2026-05-01 19:01:36.826584,/api/products,POST,bot,user_873,complex,15,179,True,0.7,2,0,27.42418665289644,47.27603946470279,False,False,319.42761986722564
req_171461,2026-05-01 19:03:25.826584,/api/orders,PUT,internal,user_57,medium,6,28,False,0.39,3,0,44.542602825925755,81.55781410430467,False,False,375.8366206731863
req_445761,2026-05-01 19:05:29.826584,/api/reports,POST,regular,user_121,simple,3,1,True,0.31,3,0,58.20664226956693,131.77872175341918,False,False,862.2433707976068
req_211194,2026-05-01 19:09:41.826584,/api/products,POST,internal,user_757,simple,1,4,False,0.25,2,0,25.60305758296862,46.12651654497682,False,False,96.23491677238299
req_564185,2026-05-01 19:14:42.826584,/api/products,POST,regular,user_748,complex,10,125,False,0.46,2,0,37.628331341752165,55.343151573633506,False,False,252.7636666826285
req_553118,2026-05-01 19:17:10.826584,/api/products,GET,internal,user_340,simple,2,6,False,0.72,2,0,29.02032968863018,56.915263459573595,False,False,141.79984585080553
req_231881,2026-05-01 19:18:02.826584,/api/payments,DELETE,regular,user_355,complex,12,119,True,0.32,3,0,76.39072636330822,124.81236561423682,False,False,898.1009350113478
req_515133,2026-05-01 19:18:48.826584,/api/search,PUT,regular,user_861,simple,1,10,False,0.51,2,1,60.0,94.23230742018961,True,False,625.8766690251592
req_170863,2026-05-01 19:20:53.826584,/api/inventory,PUT,internal,user_814,complex,13,60,False,0.77,2,0,21.647589068628882,25.569363843031827,False,False,288.3304095161374
req_622128,2026-05-01 19:23:35.826584,/api/reports,POST,bot,user_309,simple,3,4,False,0.27,3,0,51.6499473175635,100.47708716678856,False,False,3419.6866120388067
req_547543,2026-05-01 19:24:12.826584,/api/users,GET,regular,user_426,simple,3,8,False,0.35,2,0,28.643281750453937,35.34311275496218,False,False,168.26189812767342
req_565128,2026-05-01 19:24:38.826584,/api/products,GET,new,user_657,complex,14,133,False,0.57,2,1,60.0,82.88283114319941,True,False,452.95479891605873
req_582090,2026-05-01 19:27:14.826584,/api/reports,POST,vip,user_485,medium,4,13,False,0.89,3,0,47.81899672457213,107.22067960832703,False,False,1068.5680566406843
req_569631,2026-05-01 19:29:14.826584,/api/payments,PUT,new,user_136,complex,10,94,False,0.48,3,0,104.89570175933143,156.3855551534775,False,False,1050.126542087954
req_879695,2026-05-01 19:33:39.826584,/api/inventory,PUT,vip,user_504,complex,15,90,False,0.89,2,0,20.10502943462184,26.24798917154012,False,False,342.6020867464655
req_395515,2026-05-01 19:34:46.826584,/api/payments,PUT,regular,user_834,medium,4,20,False,0.33,3,1,90.0262995212724,176.25248224241213,True,False,1080.7740336332556
req_326202,2026-05-01 19:34:51.826584,/api/orders,DELETE,bot,user_711,medium,8,19,False,0.33,3,0,41.53283332963749,83.42214718650271,False,False,543.4937632016175
req_803097,2026-05-01 19:35:29.826584,/api/users,GET,internal,user_869,medium,5,16,False,0.84,2,0,27.660596396348517,32.01728659640739,False,False,177.89268123981648
req_616092,2026-05-01 19:36:46.826584,/api/search,PUT,bot,user_524,complex,10,112,False,0.76,2,0,31.555428870205937,50.411006295880014,False,False,1082.6914961352236
req_171580,2026-05-01 19:38:24.826584,/api/products,GET,bot,user_751,medium,5,20,False,0.68,2,0,33.36724166112091,57.37220914910611,False,False,258.02415749829504
req_171708,2026-05-01 19:39:14.826584,/api/orders,DELETE,new,user_487,medium,6,14,True,0.41,3,0,28.922027153925995,69.97245733029033,False,False,425.02101899782997
req_242689,2026-05-01 19:40:16.826584,/api/reports,PUT,vip,user_161,medium,4,41,False,0.31,3,0,36.56359836303924,77.41279502916203,False,False,1052.022771634437
req_239144,2026-05-01 19:40:42.826584,/api/search,DELETE,bot,user_4,simple,2,5,False,0.46,2,0,33.15731558395767,55.59698314709135,False,False,481.29160683915137
req_174694,2026-05-01 19:42:09.826584,/api/users,PUT,bot,user_419,medium,7,35,False,0.89,2,0,30.742228545983775,35.85549895652154,False,False,299.5899393901742
req_264577,2026-05-01 19:43:17.826584,/api/auth/login,DELETE,new,user_435,simple,2,8,False,0.65,2,0,38.78983456546288,69.44238890778148,False,False,1129.1793506699928
req_993956,2026-05-01 19:44:40.826584,/api/payments,GET,vip,user_824,simple,2,1,True,0.47,3,0,105.73387708858297,170.83038059435196,False,False,480.8054906086587
req_548231,2026-05-01 19:45:54.826584,/api/inventory,POST,new,user_853,medium,5,40,False,0.21,2,0,18.67022862936933,23.074115017747733,False,False,285.0202343910354
req_941957,2026-05-01 19:46:14.826584,/api/payments,DELETE,vip,user_668,complex,13,93,False,0.54,3,0,92.10640582678994,155.3163571008791,False,False,881.5628935886843
req_582863,2026-05-01 19:47:28.826584,/api/products,DELETE,vip,user_380,medium,4,25,True,0.25,2,0,27.0257643205506,50.11999514537786,False,False,167.58671459842458
req_807519,2026-05-01 19:49:20.826584,/api/payments,PUT,internal,user_664,complex,15,111,False,0.46,3,0,108.15032289641479,178.14622832421688,False,False,760.564077606296
req_710738,2026-05-01 19:52:17.826584,/api/payments,GET,internal,user_356,medium,6,19,False,0.89,3,0,104.91757351781462,153.014747238612,False,False,550.5824609188991
req_919504,2026-05-01 19:52:33.826584,/api/search,DELETE,vip,user_902,complex,10,117,True,0.77,2,2,90.0,150.0,True,False,1185.8538844333925
req_285800,2026-05-01 19:56:36.826584,/api/products,POST,internal,user_682,complex,10,200,False,0.69,2,0,28.501675885215473,48.73763925389268,False,False,198.52100765603922
req_458245,2026-05-01 19:57:50.826584,/api/reports,DELETE,new,user_959,medium,6,35,False,0.33,3,1,60.0,136.66821174351318,True,False,1996.0365723303635
req_839638,2026-05-01 19:59:24.826584,/api/payments,GET,vip,user_93,simple,1,3,True,0.7,3,0,105.71413511687453,176.38199479338218,False,False,466.0425120557681
req_614150,2026-05-01 19:59:39.826584,/api/auth/login,POST,regular,user_466,simple,1,6,False,0.63,2,0,26.19191505066587,51.90686822471196,False,False,316.49953428948857
req_876740,2026-05-01 20:03:22.826584,/api/orders,POST,new,user_250,medium,5,24,False,0.21,3,1,45.0,98.04844768807632,True,False,2144.099673620651
req_469527,2026-05-01 20:12:24.826584,/api/auth/login,PUT,new,user_497,medium,4,29,True,0.85,2,0,30.28398730920606,60.26971959038496,False,False,471.3378682443102
req_973311,2026-05-01 20:14:28.826584,/api/inventory,DELETE,regular,user_423,simple,3,4,False,0.45,2,0,20.731272021866275,25.07391668020496,False,False,215.05934418487104
req_766921,2026-05-01 20:24:33.826584,/api/payments,GET,bot,user_5,simple,2,9,True,0.44,3,0,73.19855857752131,125.36489110943235,False,False,631.7372864080409
req_182670,2026-05-01 20:25:21.826584,/api/reports,DELETE,vip,user_282,simple,2,1,True,0.63,3,0,50.29430591677552,105.07644505963327,False,False,755.4093339783526
req_356296,2026-05-01 20:25:49.826584,/api/users,GET,bot,user_709,complex,9,184,True,0.78,2,0,29.836984623392222,35.683875198636606,False,False,473.57460926697223
req_947958,2026-05-01 20:30:13.826584,/api/products,PUT,internal,user_792,complex,9,85,False,0.42,2,0,27.454287478120577,48.88730976510462,False,False,204.89640129134725
req_810048,2026-05-01 20:31:28.826584,/api/reports,GET,bot,user_403,medium,4,39,True,0.32,3,0,43.04850641923127,84.54900902648774,False,False,1654.0119180918434
req_660541,2026-05-01 20:32:02.826584,/api/products,PUT,regular,user_588,simple,3,10,True,0.22,2,0,32.580857845892226,57.119932305359285,False,False,157.2906386579019
req_552980,2026-05-01 20:32:45.826584,/api/payments,POST,new,user_130,medium,4,40,False,0.41,3,2,150.0,378.15765330574794,True,True,2471.924318439927
req_258263,2026-05-01 20:33:19.826584,/api/auth/login,GET,internal,user_750,simple,3,2,True,0.35,2,1,120.0,148.6073966187867,True,False,516.9082801361371
req_130336,2026-05-01 20:35:50.826584,/api/products,POST,internal,user_368,medium,4,32,False,0.3,2,0,29.79984300366028,48.69990545850062,False,False,166.82140476821053
req_265483,2026-05-01 20:37:37.826584,/api/inventory,GET,regular,user_253,complex,10,188,False,0.68,2,0,23.466513346287798,26.807330540532693,False,False,370.5872959317501
req_464822,2026-05-01 20:42:23.826584,/api/inventory,DELETE,bot,user_664,simple,2,2,False,0.34,2,0,20.277370367326142,27.798894798056928,False,False,281.13694552848597
req_830300,2026-05-01 20:44:03.826584,/api/products,GET,internal,user_415,complex,9,79,False,0.49,2,0,34.00997650367164,52.25159186119883,False,False,210.85889626980887
req_154556,2026-05-01 20:44:26.826584,/api/orders,POST,vip,user_833,simple,2,4,False,0.22,3,1,105.0,148.62865487419944,True,False,501.5037895743776
req_878024,2026-05-01 20:51:20.826584,/api/reports,PUT,bot,user_765,medium,8,31,False,0.34,3,1,105.0,173.1216081222646,True,False,2589.4832078016325
req_623120,2026-05-01 20:51:45.826584,/api/inventory,POST,new,user_147,simple,2,3,True,0.78,2,0,32.28795097355281,37.239191649087225,False,False,212.75663360426725
req_701335,2026-05-01 20:54:58.826584,/api/users,POST,new,user_905,simple,1,1,False,0.67,2,0,26.39451803669506,31.10824680282736,False,False,239.16125205270177
req_588128,2026-05-01 20:56:30.826584,/api/products,GET,internal,user_176,simple,1,8,False,0.34,2,1,60.0,95.13598374183928,True,False,238.44736514415152
req_407333,2026-05-01 21:09:15.826584,/api/search,DELETE,internal,user_756,simple,3,3,False,0.89,2,0,36.08743819157779,52.830625864334415,False,False,322.0020994691807
req_388789,2026-05-01 21:10:19.826584,/api/orders,POST,bot,user_850,simple,1,1,False,0.71,3,0,34.56504753471484,75.44897211100732,False,False,389.18735056995985
req_448304,2026-05-01 21:11:04.826584,/api/users,PUT,regular,user_292,complex,12,87,True,0.87,2,0,27.653161093820696,32.753090134222866,False,False,348.23412624092174
req_514543,2026-05-01 21:13:41.826584,/api/orders,GET,vip,user_676,complex,11,163,True,0.39,3,0,38.52935239399224,85.18167204223924,False,False,499.3158500839468
req_443225,2026-05-01 21:15:18.826584,/api/users,POST,internal,user_410,simple,2,3,False,0.58,2,0,21.143079842929215,24.96806070600057,False,False,94.28416526538703
req_598173,2026-05-01 21:16:26.826584,/api/auth/login,PUT,vip,user_592,complex,10,54,False,0.74,2,0,32.950869528977904,56.027957310376834,False,False,563.9136977019264
req_246629,2026-05-01 21:17:29.826584,/api/orders,DELETE,regular,user_736,complex,14,72,False,0.58,3,0,30.04206563164235,67.58286568546437,False,False,558.4721474522137
req_587213,2026-05-01 21:17:31.826584,/api/orders,POST,internal,user_684,simple,3,1,False,0.59,3,0,37.30125776761779,76.19225904812266,False,False,253.13381003508346
req_156193,2026-05-01 21:20:00.826584,/api/auth/login,GET,vip,user_673,medium,4,26,False,0.31,2,0,47.88218544820738,74.55560766400279,False,False,477.2075099432417
req_339509,2026-05-01 21:20:15.826584,/api/auth/login,POST,regular,user_531,simple,1,8,False,0.39,2,0,37.528308233322875,66.24429495794755,False,False,327.8091026541136
req_157806,2026-05-01 21:23:07.826584,/api/reports,PUT,vip,user_723,simple,1,10,False,0.6,3,0,42.17133489702509,94.78902181273418,False,False,715.5800827330565
req_946139,2026-05-01 21:25:41.826584,/api/reports,DELETE,regular,user_664,simple,3,3,False,0.5,3,0,66.25984674363409,121.57848403757198,False,False,851.0769579830427
req_587056,2026-05-01 21:26:25.826584,/api/search,GET,vip,user_133,complex,11,160,True,0.32,2,2,90.0,150.0,True,False,1155.2023079635428
req_777438,2026-05-01 21:28:12.826584,/api/inventory,GET,vip,user_509,complex,11,102,False,0.76,2,0,26.10733347266674,31.65528366376333,False,False,378.4149271811627
req_933115,2026-05-01 21:28:38.826584,/api/products,POST,internal,user_662,medium,8,13,False,0.61,2,1,60.0,88.57311670710948,True,False,282.14253107793473
req_608906,2026-05-01 21:28:48.826584,/api/reports,DELETE,bot,user_151,simple,1,10,True,0.7,3,0,51.74588277526009,105.88611273204387,False,False,1132.532347075749
req_542998,2026-05-01 21:32:57.826584,/api/users,GET,regular,user_854,complex,14,164,False,0.69,2,0,32.45718798536558,36.07442338818472,False,False,355.52102731682356
req_119423,2026-05-01 21:39:00.826584,/api/search,POST,bot,user_126,complex,9,89,True,0.76,2,0,31.912447476943516,48.33869522755931,False,False,3193.315002329323
req_278363,2026-05-01 21:40:50.826584,/api/products,POST,internal,user_609,complex,13,130,False,0.48,2,0,26.992595353258725,48.78217110153463,False,False,193.8113143709774
req_719725,2026-05-01 21:42:01.826584,/api/payments,DELETE,regular,user_712,simple,1,3,False,0.84,3,0,96.8997314215086,157.96429603070723,False,False,486.69602657587444
