date,hour,is_weekend,traffic_index,traffic_impact_factor
2024-01-05,12,False,0.8,1.4
2024-01-05,13,False,0.81,1.41
2024-01-05,14,False,0.36,1.18
2024-01-05,15,False,0.2,1.1
2024-01-05,16,False,0.27,1.14
2024-01-05,17,False,0.68,1.34
2024-01-05,18,False,0.89,1.44
2024-01-05,19,False,0.91,1.46
2024-01-05,20,False,0.25,1.13
2024-01-05,21,False,0.66,1.33
2024-01-05,22,False,0.38,1.19
2024-01-05,23,False,0.15,1.08
2024-01-06,0,True,0.32,1.16
2024-01-06,1,True,0.4,1.2
2024-01-06,2,True,0.47,1.23
2024-01-06,3,True,0.25,1.13
2024-01-06,4,True,0.41,1.2
2024-01-06,5,True,0.3,1.15
2024-01-06,6,True,0.28,1.14
2024-01-06,7,True,0.49,1.24
2024-01-06,8,True,0.47,1.23
2024-01-06,9,True,0.24,1.12
2024-01-06,10,True,0.45,1.22
2024-01-06,11,True,0.94,1.47
2024-01-06,12,True,0.74,1.37
2024-01-06,13,True,0.84,1.42
2024-01-06,14,True,0.35,1.17
2024-01-06,15,True,0.33,1.16
2024-01-06,16,True,0.24,1.12
2024-01-06,17,True,0.53,1.27
2024-01-06,18,True,0.6,1.3
2024-01-06,19,True,0.72,1.36
2024-01-06,20,True,0.35,1.18
2024-01-06,21,True,0.46,1.23
2024-01-06,22,True,0.58,1.29
2024-01-06,23,True,0.02,1.01
2024-01-07,0,True,0.41,1.21
2024-01-07,1,True,0.13,1.06
2024-01-07,2,True,0.26,1.13
2024-01-07,3,True,0.19,1.09
2024-01-07,4,True,0.17,1.09
2024-01-07,5,True,0.42,1.21
2024-01-07,6,True,0.25,1.13
2024-01-07,7,True,0.43,1.22
2024-01-07,8,True,0.4,1.2
2024-01-07,9,True,0.45,1.22
2024-01-07,10,True,0.31,1.15
2024-01-07,11,True,0.67,1.34
2024-01-07,12,True,0.9,1.45
2024-01-07,13,True,0.75,1.38
2024-01-07,14,True,0.14,1.07
2024-01-07,15,True,0.26,1.13
2024-01-07,16,True,0.45,1.23
2024-01-07,17,True,0.69,1.34
2024-01-07,18,True,0.57,1.28
2024-01-07,19,True,0.57,1.28
2024-01-07,20,True,0.27,1.13
2024-01-07,21,True,0.71,1.35
2024-01-07,22,True,0.54,1.27
2024-01-07,23,True,0.34,1.17
