date,hour,temperature,wind_speed,weather_condition,weather_impact_factor
2024-01-04,1,13.8,0.5,晴天,1.0
2024-01-04,2,27.5,0.5,晴天,1.0
2024-01-04,3,30.2,4.6,多云,1.0
2024-01-04,4,15.8,13.1,晴天,1.0
2024-01-04,5,23.9,2.0,晴天,1.0
2024-01-04,6,25.7,16.6,晴天,1.0
2024-01-04,7,23.6,13.4,晴天,1.0
2024-01-04,8,24.7,0.3,晴天,1.0
2024-01-04,9,17.5,4.2,晴天,1.0
2024-01-04,10,22.6,8.4,大雨,1.35
2024-01-04,11,10.0,16.3,晴天,1.0
2024-01-04,12,14.4,11.8,晴天,1.0
2024-01-04,13,8.7,12.5,多云,1.0
2024-01-04,14,3.3,5.9,雾,1.25
2024-01-04,15,33.6,15.3,晴天,1.0
2024-01-04,16,19.7,17.9,小雨,1.15
2024-01-04,17,28.8,8.5,晴天,1.0
2024-01-04,18,22.5,12.7,晴天,1.0
2024-01-04,19,6.3,2.8,小雨,1.15
2024-01-04,20,20.1,3.4,晴天,1.0
2024-01-04,21,22.8,0.4,雾,1.25
2024-01-04,22,21.6,5.5,多云,1.0
2024-01-04,23,12.2,13.0,小雨,1.15
2024-01-05,0,22.0,12.0,多云,1.0
2024-01-05,1,27.9,3.5,雾,1.25
2024-01-05,2,5.3,10.4,晴天,1.0
2024-01-05,3,9.8,3.3,小雨,1.15
2024-01-05,4,21.5,4.9,晴天,1.0
2024-01-05,5,14.0,5.8,晴天,1.0
2024-01-05,6,12.2,11.3,多云,1.0
2024-01-05,7,28.4,13.3,雾,1.25
2024-01-05,8,13.1,0.6,晴天,1.0
2024-01-05,9,25.6,11.9,晴天,1.0
2024-01-05,10,40.5,6.7,小雨,1.15
2024-01-05,11,19.2,2.1,晴天,1.0
2024-01-05,12,19.7,13.8,多云,1.0
2024-01-05,13,34.2,4.9,小雨,1.15
2024-01-05,14,25.1,5.4,多云,1.0
2024-01-05,15,27.8,7.2,晴天,1.0
2024-01-05,16,19.4,3.7,多云,1.0
2024-01-05,17,25.0,17.5,小雨,1.15
2024-01-05,18,24.5,13.8,小雨,1.15
2024-01-05,19,28.6,5.0,多云,1.0
2024-01-05,20,23.4,3.6,多云,1.0
2024-01-05,21,21.7,18.3,晴天,1.0
2024-01-05,22,11.4,18.5,雪,1.4
2024-01-05,23,28.4,18.9,多云,1.0
2024-01-06,0,20.2,6.4,小雨,1.15
2024-01-06,1,20.2,0.7,多云,1.0
2024-01-06,2,16.5,1.5,多云,1.0
2024-01-06,3,17.5,6.8,小雨,1.15
2024-01-06,4,18.5,10.8,小雨,1.15
2024-01-06,5,16.5,6.4,多云,1.0
2024-01-06,6,22.1,4.7,晴天,1.0
2024-01-06,7,27.1,17.4,晴天,1.0
2024-01-06,8,20.7,18.8,小雨,1.15
2024-01-06,9,28.5,20.0,晴天,1.0
2024-01-06,10,15.9,9.6,多云,1.0
2024-01-06,11,31.3,17.5,雪,1.4
2024-01-06,12,16.4,8.4,小雨,1.15
2024-01-06,13,31.6,4.8,晴天,1.0
2024-01-06,14,9.2,5.9,晴天,1.0
2024-01-06,15,12.7,0.8,晴天,1.0
2024-01-06,16,19.7,7.7,多云,1.0
2024-01-06,17,21.9,4.4,雾,1.25
2024-01-06,18,27.9,18.9,多云,1.0
2024-01-06,19,18.3,12.3,晴天,1.0
2024-01-06,20,21.3,12.2,多云,1.0
2024-01-06,21,23.9,4.6,晴天,1.0
2024-01-06,22,15.0,15.6,晴天,1.0
2024-01-06,23,15.6,1.2,雾,1.25
2024-01-07,0,31.4,13.9,晴天,1.0
2024-01-07,1,15.4,16.3,晴天,1.0
2024-01-07,2,21.6,11.9,多云,1.0
2024-01-07,3,7.9,1.8,大雨,1.35
2024-01-07,4,15.1,17.8,雾,1.25
2024-01-07,5,16.9,17.2,小雨,1.15
2024-01-07,6,25.3,1.7,多云,1.0
2024-01-07,7,36.1,7.5,晴天,1.0
2024-01-07,8,19.7,1.6,晴天,1.0
2024-01-07,9,34.4,13.7,晴天,1.0
2024-01-07,10,19.9,9.6,多云,1.0
2024-01-07,11,29.5,16.5,晴天,1.0
2024-01-07,12,25.5,5.3,大雨,1.35
2024-01-07,13,34.8,15.9,多云,1.0
2024-01-07,14,26.6,13.9,多云,1.0
2024-01-07,15,24.1,12.4,小雨,1.15
2024-01-07,16,18.7,6.7,小雨,1.15
2024-01-07,17,21.2,3.2,小雨,1.15
2024-01-07,18,20.2,0.1,晴天,1.0
2024-01-07,19,30.2,12.3,雪,1.4
2024-01-07,20,9.1,12.7,多云,1.0
2024-01-07,21,26.0,15.6,晴天,1.0
2024-01-07,22,22.0,19.3,晴天,1.0
2024-01-07,23,32.6,12.7,雾,1.25
