movie_id,opening_weekend_revenue,total_revenue,release_month,release_weekday,holiday_season,marketing_spend,num_screens
M095,58690566,177445080,9,5,1,53781397,6762
M096,5326231,16746883,5,3,0,4443265,5597
M097,19745333,49525244,4,5,0,30567104,2282
M098,20574232,76821676,8,2,1,44821531,4578
M099,7363864,27502485,2,2,0,11793697,7805
M100,26526588,71816309,8,0,0,21727426,3179
M101,6352520,19721251,7,0,1,18112398,6135
M102,15993115,54120244,2,6,0,12049702,5821
M103,43120282,139212990,8,0,1,36327298,7135
M104,40599501,141394046,10,1,0,69155456,5611
M105,26445410,96153685,12,5,1,43925577,3580
M106,84810350,243739500,12,0,1,79666727,1346
M107,20841573,60092144,10,4,0,19905731,3438
M108,49308812,171095469,10,6,1,73253081,4235
M109,54799934,201389144,9,3,0,46934560,2627
M110,45739057,146130416,8,5,0,82602523,4131
M111,24396091,83056016,12,2,0,30710285,4129
M112,14070265,55340859,3,1,1,17159790,1402
M113,29767478,96075490,10,2,0,32938739,2427
M114,4596829,16747596,7,1,0,10106169,5222
M115,37424056,131156244,10,2,0,81786991,4654
M116,49887913,185110107,2,5,1,47662678,4529
M117,51817754,195466017,11,1,0,43081335,1417
M118,35333702,115659816,9,6,0,22939028,4364
M119,34595198,89338075,3,5,0,39703233,6410
M120,19871680,68391470,2,6,0,22997873,6606
M121,47209952,167724002,10,4,1,87936701,1917
M122,41288379,108392367,8,0,1,69837787,5163
M123,8221212,20929593,2,4,1,28563193,3491
M124,18973030,62661392,3,6,0,17104757,3916
M125,5341291,17535028,12,1,1,7868091,4062
M126,13917404,43930313,1,4,0,7648002,1210
M127,17944229,51845383,1,3,1,8881783,6460
M128,43506875,114881888,3,6,0,36746771,1697
M129,29275200,86342329,7,0,0,57149107,5185
M130,35339986,135581323,11,6,1,75239505,5914
M131,50932276,178549132,9,4,0,50512150,7161
M132,3057595,9442333,11,6,1,8386875,1409
M133,106462594,308816228,10,2,0,73280584,3118
M134,29598626,114164337,2,6,1,33192201,4499
M135,25332761,65004670,9,5,0,23539117,3327
M136,32282950,113354758,12,4,0,29999207,4091
M137,13765864,41725215,8,4,1,10689738,6242
M138,8174673,20990528,10,3,1,13065253,4082
M139,38998379,119943261,4,5,1,68254707,4516
M140,26559634,67419813,8,4,1,13257368,4636
M141,12943289,32583733,9,2,0,21157297,2309
M142,27154750,107854308,6,4,0,67596047,4331
M143,49005421,142744259,9,1,0,45248021,5701
M144,9217215,36317960,4,2,1,18350362,5110
M145,30399345,86392753,1,3,0,72343544,4237
M146,36584054,117774512,9,3,0,51413469,6105
M147,27868704,104494567,2,2,0,33306277,7796
M148,21716723,57971041,12,1,1,39038725,5912
M149,6093131,21083122,3,6,0,19063339,1884
M150,18018849,51335222,8,5,1,23416637,3799
M151,26661823,74116418,4,0,1,19263742,5186
M152,9537134,25193231,6,6,0,20812128,3951
M153,34351826,132585808,5,6,1,52650315,3147
M154,16274618,43727522,2,3,1,37928229,2583
M155,42835517,151874261,5,0,1,42001144,1517
M156,39725997,127324574,12,3,0,60440794,2038
M157,50074276,177778298,10,4,0,70982206,6975
M158,50212327,125745592,7,3,0,39170873,1652
M159,27841118,88096996,7,4,0,50161051,7879
M160,17610296,52649011,3,3,1,51320480,5472
M161,23036790,72180660,11,4,0,35231123,5765
M162,36093317,111663388,10,4,1,32576805,5151
M163,16782556,51551711,5,5,0,39362134,5819
M164,20834147,60248776,6,6,0,33813100,6027
M165,86573428,233934521,10,5,0,38511026,6631
M166,10725627,39379880,6,1,1,25204291,1364
M167,43456316,131537558,2,3,0,31040741,6965
M168,14174556,36751800,10,4,1,19660684,3575
M169,18501574,53151866,12,5,0,25760279,5745
M170,21557650,62298548,6,4,0,24468200,1062
M171,22880808,58888967,10,5,1,49957081,3447
M172,52272812,172266585,10,2,0,35324436,4082
M173,28570937,114225467,11,6,1,67090891,7066
M174,20240781,76760055,10,3,1,21653564,1409
M175,57819021,172896899,7,2,0,26151234,7475
M176,34128589,133002163,6,3,1,65584661,4629
M177,23654645,71197528,1,4,1,46084035,3527
M178,5921244,21624432,4,1,0,13756908,2986
M179,27903414,105629938,6,2,1,45351037,7416
M180,92356730,249013066,11,1,1,48754256,3369
M181,42398707,109443299,7,5,1,32011991,3842
M182,4357486,12389872,1,0,1,6201981,2529
M183,12011735,32162880,3,2,0,27872070,7538
M184,44629803,141828584,8,5,1,42511807,2100
M185,58218547,212248137,10,0,1,40623310,1647
M186,17694166,48929967,12,0,0,19640425,7977
M187,24778552,80655196,5,4,1,35358855,1050
M188,10969457,39936937,9,0,0,11983145,5229
M189,19858028,78895306,8,5,1,37809322,2047
M190,51832902,144812096,2,1,1,44985577,7435
M191,47940122,184372824,5,3,0,73743191,4346
M192,40218588,148358027,3,5,1,38105966,6983
M193,43108518,114942897,3,0,0,52359770,2874
M194,13368713,48169127,8,2,0,18096381,6705
M195,15526493,52527885,7,6,0,37558102,3870
M196,41798328,165544553,11,1,1,52967174,5211
M197,45679955,126179121,3,0,0,65644256,3074
M198,9831710,29918324,5,0,0,25373009,4516
M199,28150242,81120469,11,2,1,78736760,3773
M200,36863334,133063780,4,6,0,21708162,2585
