movie_id,title,genres,actors,director,release_year,budget,runtime,is_sequel,production_company
M054,电影_M054,悬疑,演员C|演员H|演员D|演员J,导演E,2015,81000000,156,1,公司E
M055,电影_M055,冒险,演员B|演员D|演员G,导演H,2018,71000000,168,1,公司D
M056,电影_M056,动作|喜剧,演员D|演员G|演员J|演员C,导演F,2017,151000000,147,1,公司D
M057,电影_M057,冒险|爱情|战争,演员E|演员J|演员I|演员B|演员A,导演D,2015,40000000,175,0,公司B
M058,电影_M058,悬疑,演员J|演员I|演员E|演员A,导演D,2014,68000000,126,0,公司C
M059,电影_M059,冒险,演员E|演员A|演员I,导演E,2021,42000000,161,1,公司A
M060,电影_M060,战争,演员H|演员J|演员I|演员C,导演C,2010,74000000,141,0,公司A
M061,电影_M061,悬疑|喜剧,演员C|演员J,导演E,2011,73000000,95,1,公司E
M062,电影_M062,战争|科幻|动画,演员H|演员E|演员G|演员C|演员I,导演A,2019,199000000,92,0,公司B
M063,电影_M063,喜剧|剧情,演员C|演员I|演员B,导演C,2010,114000000,137,1,公司C
M064,电影_M064,科幻,演员E|演员H|演员B|演员F,导演D,2024,77000000,180,0,公司D
M065,电影_M065,冒险,演员C|演员E|演员J,导演B,2010,52000000,119,1,公司D
M066,电影_M066,悬疑,演员G|演员E|演员H|演员D,导演B,2019,20000000,135,1,公司E
M067,电影_M067,动作|喜剧,演员J|演员A|演员E,导演A,2022,54000000,140,1,公司C
M068,电影_M068,战争,演员H|演员B|演员J|演员C|演员D,导演F,2015,181000000,93,0,公司C
M069,电影_M069,悬疑|恐怖,演员I|演员A|演员H|演员J|演员C,导演E,2015,39000000,178,1,公司E
M070,电影_M070,冒险,演员G|演员A|演员D|演员E|演员C,导演H,2020,123000000,177,0,公司B
M071,电影_M071,冒险|剧情,演员H|演员J|演员B|演员A,导演D,2021,50000000,119,0,公司E
M072,电影_M072,喜剧|科幻,演员H|演员B,导演C,2017,193000000,117,1,公司D
M073,电影_M073,悬疑|科幻,演员I|演员C|演员G|演员B|演员E,导演C,2023,27000000,115,1,公司C
M074,电影_M074,恐怖|动作|战争,演员J|演员H|演员C|演员D,导演H,2015,95000000,150,1,公司D
M075,电影_M075,科幻|战争,演员D|演员G|演员A|演员C|演员F,导演H,2021,107000000,129,0,公司D
M076,电影_M076,剧情,演员B|演员H|演员J|演员E,导演H,2010,194000000,98,1,公司B
M077,电影_M077,悬疑,演员F|演员G|演员B|演员I,导演F,2023,182000000,148,1,公司C
M078,电影_M078,悬疑|冒险|动作,演员D|演员E,导演D,2021,33000000,135,0,公司A
M079,电影_M079,剧情|恐怖,演员A|演员F,导演A,2014,101000000,127,1,公司B
M080,电影_M080,冒险,演员J|演员C|演员I|演员B|演员A,导演G,2019,184000000,110,1,公司E
M081,电影_M081,科幻,演员E|演员H|演员J|演员F|演员A,导演H,2024,83000000,166,0,公司A
M082,电影_M082,爱情|恐怖,演员E|演员H|演员J|演员B|演员D,导演H,2011,70000000,128,1,公司E
M083,电影_M083,恐怖|动作,演员E|演员A|演员I|演员J|演员F,导演H,2023,83000000,179,0,公司E
M084,电影_M084,科幻|战争,演员C|演员B|演员A|演员J,导演H,2010,158000000,126,0,公司A
M085,电影_M085,爱情|动画,演员D|演员C|演员F,导演E,2023,52000000,112,1,公司C
M086,电影_M086,爱情|喜剧|悬疑,演员C|演员D,导演G,2023,152000000,126,0,公司D
M087,电影_M087,恐怖,演员H|演员F,导演E,2019,107000000,161,1,公司A
M088,电影_M088,科幻|悬疑|动作,演员J|演员D|演员B|演员F,导演H,2024,189000000,118,1,公司A
M089,电影_M089,动作,演员E|演员H,导演B,2011,70000000,148,0,公司D
M090,电影_M090,爱情|冒险,演员J|演员C|演员G|演员F|演员A,导演H,2019,114000000,115,0,公司C
M091,电影_M091,悬疑,演员D|演员F|演员B|演员I|演员C,导演F,2010,111000000,115,0,公司A
M092,电影_M092,喜剧|科幻,演员A|演员F,导演D,2012,154000000,106,0,公司E
M093,电影_M093,战争,演员D|演员F|演员C,导演A,2014,47000000,96,1,公司B
M094,电影_M094,动作,演员A|演员F|演员D,导演F,2010,54000000,113,0,公司B
M095,电影_M095,动画|冒险|喜剧,演员H|演员J,导演F,2018,161000000,93,1,公司E
M096,电影_M096,战争,演员I|演员E,导演H,2020,17000000,87,1,公司D
M097,电影_M097,喜剧|悬疑,演员B|演员J|演员F|演员E|演员I,导演B,2012,80000000,159,1,公司D
M098,电影_M098,冒险|恐怖|悬疑,演员B|演员J|演员D|演员H|演员G,导演D,2016,96000000,138,1,公司D
M099,电影_M099,喜剧|爱情|动画,演员E|演员F|演员C|演员I,导演H,2011,33000000,90,0,公司D
M100,电影_M100,爱情,演员I|演员A|演员F,导演B,2016,100000000,165,1,公司A
M101,电影_M101,战争|恐怖,演员B|演员I|演员D|演员J,导演H,2013,37000000,124,1,公司A
M102,电影_M102,战争|科幻,演员I|演员J|演员A|演员E|演员F,导演E,2010,56000000,114,1,公司C
M103,电影_M103,动作|剧情,演员J|演员G|演员B,导演C,2021,172000000,83,0,公司E
M104,电影_M104,动画,演员H|演员F|演员C|演员J|演员G,导演F,2022,155000000,156,0,公司A
M105,电影_M105,剧情,演员B|演员E,导演H,2020,118000000,142,1,公司D
M106,电影_M106,科幻|冒险,演员F|演员G,导演B,2014,183000000,166,1,公司E
M107,电影_M107,恐怖|动作|科幻,演员J|演员A|演员I|演员B|演员C,导演D,2022,45000000,177,1,公司C
M108,电影_M108,喜剧|动作,演员G|演员C|演员I|演员D|演员E,导演D,2018,153000000,165,1,公司A
M109,电影_M109,动作|动画,演员H|演员B,导演F,2019,119000000,153,1,公司D
M110,电影_M110,喜剧|动画,演员F|演员C,导演H,2023,186000000,126,0,公司D
M111,电影_M111,科幻,演员J|演员G|演员B|演员D|演员C,导演F,2013,95000000,179,0,公司A
M112,电影_M112,喜剧|冒险|科幻,演员F|演员C|演员D|演员A,导演C,2014,60000000,102,0,公司A
M113,电影_M113,悬疑,演员J|演员H|演员F|演员G|演员I,导演F,2012,122000000,88,1,公司D
M114,电影_M114,恐怖|战争|动作,演员I|演员B|演员E|演员D,导演H,2010,24000000,127,1,公司A
M115,电影_M115,喜剧|冒险|动画,演员J|演员I|演员A|演员D|演员E,导演D,2015,164000000,140,0,公司A
M116,电影_M116,喜剧|爱情,演员I|演员C,导演A,2013,191000000,136,1,公司E
M117,电影_M117,战争|剧情|爱情,演员E|演员G|演员I|演员H,导演F,2020,163000000,86,1,公司A
M118,电影_M118,喜剧|冒险,演员E|演员J|演员C|演员H|演员A,导演C,2024,99000000,119,1,公司B
M119,电影_M119,喜剧|恐怖|动画,演员C|演员I|演员B|演员F,导演G,2018,102000000,82,1,公司C
M120,电影_M120,科幻,演员H|演员D|演员I|演员B,导演C,2011,85000000,180,0,公司E
M121,电影_M121,冒险|动作|爱情,演员J|演员G|演员C,导演C,2012,187000000,178,0,公司D
M122,电影_M122,动画,演员D|演员H|演员E|演员G,导演H,2013,146000000,110,1,公司D
M123,电影_M123,爱情,演员H|演员E|演员G|演员I|演员J,导演G,2012,61000000,157,0,公司C
M124,电影_M124,悬疑,演员I|演员B|演员J|演员C,导演B,2022,51000000,114,1,公司E
M125,电影_M125,动画,演员D|演员H,导演F,2024,16000000,133,0,公司D
M126,电影_M126,爱情|科幻|动画,演员F|演员D,导演A,2015,35000000,171,1,公司B
M127,电影_M127,动作,演员H|演员C|演员J|演员D,导演A,2024,30000000,82,1,公司B
M128,电影_M128,冒险,演员B|演员E|演员D|演员C|演员A,导演A,2013,117000000,161,1,公司A
M129,电影_M129,悬疑,演员I|演员D,导演C,2014,119000000,80,1,公司B
M130,电影_M130,动画|剧情|喜剧,演员B|演员I|演员A|演员D,导演H,2010,172000000,129,1,公司C
M131,电影_M131,动作|爱情|喜剧,演员D|演员B|演员F|演员I,导演A,2015,149000000,123,0,公司D
M132,电影_M132,悬疑|剧情|冒险,演员H|演员A,导演E,2013,21000000,105,0,公司C
M133,电影_M133,冒险|动画,演员E|演员A|演员D|演员C|演员G,导演A,2023,177000000,122,1,公司A
M134,电影_M134,动画|战争,演员G|演员F|演员C|演员D|演员I,导演H,2015,142000000,114,0,公司D
M135,电影_M135,动画,演员I|演员E|演员F,导演B,2011,93000000,164,1,公司C
M136,电影_M136,战争|动画,演员H|演员F|演员J,导演A,2021,100000000,158,1,公司C
M137,电影_M137,动作|喜剧|动画,演员I|演员C|演员A|演员B,导演H,2010,42000000,88,0,公司C
M138,电影_M138,动画|动作,演员H|演员F|演员I,导演H,2022,29000000,153,0,公司E
M139,电影_M139,动画|爱情,演员D|演员B|演员A|演员F,导演C,2017,142000000,129,0,公司C
M140,电影_M140,悬疑|科幻,演员H|演员D|演员B|演员J,导演B,2017,54000000,171,1,公司A
M141,电影_M141,爱情|战争|喜剧,演员E|演员C|演员I|演员G,导演F,2018,67000000,95,0,公司B
M142,电影_M142,悬疑,演员F|演员I,导演F,2017,151000000,96,0,公司A
M143,电影_M143,动画|悬疑,演员G|演员B|演员C|演员H|演员F,导演B,2017,129000000,167,1,公司B
M144,电影_M144,战争|剧情|冒险,演员I|演员A|演员B|演员E|演员H,导演E,2012,51000000,121,0,公司C
M145,电影_M145,恐怖|喜剧|战争,演员I|演员E|演员C,导演E,2019,146000000,91,0,公司E
M146,电影_M146,剧情|战争|爱情,演员A|演员B,导演A,2020,157000000,113,0,公司E
M147,电影_M147,战争|动作,演员I|演员E|演员J|演员D|演员B,导演G,2014,126000000,89,0,公司B
M148,电影_M148,动画|悬疑,演员D|演员F|演员C|演员H|演员I,导演F,2021,98000000,131,0,公司C
M149,电影_M149,冒险|喜剧|爱情,演员H|演员B|演员E,导演H,2013,46000000,92,0,公司C
M150,电影_M150,战争|动画,演员C|演员F|演员I,导演D,2022,50000000,143,1,公司D
M151,电影_M151,悬疑|动作,演员G|演员I,导演H,2013,65000000,154,1,公司A
M152,电影_M152,恐怖,演员J|演员H|演员E|演员I|演员A,导演B,2016,44000000,113,1,公司D
M153,电影_M153,动作|动画,演员J|演员I,导演D,2015,151000000,116,0,公司D
M154,电影_M154,悬疑|冒险|恐怖,演员C|演员B,导演G,2015,96000000,151,1,公司B
M155,电影_M155,战争,演员I|演员A|演员J|演员H|演员B,导演F,2022,131000000,146,1,公司B
M156,电影_M156,冒险|剧情|爱情,演员C|演员G|演员E|演员H,导演F,2018,140000000,148,1,公司E
M157,电影_M157,悬疑|动作,演员F|演员B|演员G|演员E,导演E,2022,195000000,168,0,公司E
M158,电影_M158,恐怖|科幻,演员J|演员H,导演C,2018,171000000,172,1,公司B
M159,电影_M159,科幻|动作|喜剧,演员A|演员H|演员F,导演G,2012,115000000,168,0,公司D
M160,电影_M160,战争|悬疑|动作,演员I|演员D|演员F,导演H,2018,106000000,120,0,公司D
M161,电影_M161,爱情|冒险|战争,演员J|演员H|演员D|演员B,导演E,2018,86000000,108,1,公司C
M162,电影_M162,科幻|悬疑|爱情,演员F|演员I|演员E|演员C|演员A,导演G,2024,111000000,124,0,公司C
M163,电影_M163,恐怖,演员F|演员H,导演E,2021,132000000,107,0,公司E
M164,电影_M164,冒险|恐怖,演员B|演员D|演员I,导演A,2020,145000000,108,0,公司A
M165,电影_M165,动画,演员H|演员B|演员C|演员A,导演C,2016,177000000,140,1,公司B
M166,电影_M166,爱情|恐怖,演员B|演员D,导演A,2024,54000000,133,0,公司A
M167,电影_M167,悬疑|剧情,演员A|演员J|演员E|演员H,导演B,2024,95000000,116,1,公司E
M168,电影_M168,悬疑|剧情|战争,演员D|演员B|演员F|演员I,导演H,2020,75000000,171,0,公司A
M169,电影_M169,爱情|恐怖|科幻,演员J|演员G|演员I,导演F,2011,112000000,165,0,公司B
M170,电影_M170,悬疑,演员D|演员A|演员E|演员J,导演D,2017,78000000,122,1,公司E
M171,电影_M171,战争|动作|恐怖,演员D|演员A|演员B|演员J,导演E,2012,113000000,167,1,公司A
M172,电影_M172,恐怖|爱情|科幻,演员C|演员H|演员J,导演H,2021,165000000,127,1,公司E
M173,电影_M173,冒险|科幻,演员J|演员B|演员H,导演F,2011,154000000,94,0,公司E
M174,电影_M174,科幻|冒险|剧情,演员F|演员I|演员H,导演B,2020,62000000,171,1,公司A
M175,电影_M175,悬疑|动作|战争,演员I|演员G|演员H,导演A,2018,128000000,166,1,公司A
M176,电影_M176,恐怖|动作,演员J|演员B|演员A,导演G,2015,189000000,88,0,公司A
M177,电影_M177,动作|恐怖,演员C|演员J|演员G|演员I|演员D,导演H,2023,106000000,128,0,公司E
M178,电影_M178,爱情,演员C|演员I,导演G,2018,42000000,173,0,公司A
M179,电影_M179,恐怖,演员I|演员G|演员J|演员H|演员B,导演D,2017,98000000,99,1,公司B
M180,电影_M180,喜剧|动作|动画,演员D|演员J,导演B,2011,162000000,84,1,公司E
M181,电影_M181,动作|科幻|战争,演员H|演员D|演员I|演员G|演员A,导演C,2018,84000000,109,1,公司E
M182,电影_M182,爱情|科幻|恐怖,演员I|演员D|演员G,导演E,2014,25000000,151,0,公司D
M183,电影_M183,悬疑|动作|爱情,演员I|演员F|演员G|演员D|演员B,导演E,2016,57000000,176,1,公司B
M184,电影_M184,恐怖,演员H|演员A|演员G,导演G,2018,145000000,97,1,公司B
M185,电影_M185,科幻|爱情,演员H|演员F,导演B,2018,195000000,104,0,公司C
M186,电影_M186,战争|动作,演员D|演员I,导演D,2017,63000000,122,1,公司A
M187,电影_M187,科幻,演员H|演员D,导演D,2016,71000000,150,1,公司C
M188,电影_M188,悬疑|冒险,演员E|演员J|演员F|演员I,导演H,2017,35000000,172,1,公司C
M189,电影_M189,爱情,演员G|演员A|演员D|演员F,导演C,2010,76000000,150,1,公司C
M190,电影_M190,科幻,演员D|演员G|演员J|演员H,导演F,2014,135000000,172,1,公司D
M191,电影_M191,爱情,演员C|演员I|演员H,导演C,2024,148000000,162,0,公司E
M192,电影_M192,喜剧,演员A|演员G,导演C,2023,171000000,109,0,公司B
M193,电影_M193,科幻,演员F|演员A|演员H|演员J|演员D,导演A,2010,146000000,150,1,公司A
M194,电影_M194,冒险,演员I|演员E|演员A|演员J,导演G,2022,55000000,93,0,公司E
M195,电影_M195,科幻,演员J|演员I|演员E,导演F,2014,111000000,90,1,公司D
M196,电影_M196,战争|科幻,演员E|演员B|演员A,导演B,2016,107000000,128,1,公司A
M197,电影_M197,动作|剧情|喜剧,演员G|演员F|演员B|演员E|演员A,导演D,2013,187000000,152,1,公司C
M198,电影_M198,喜剧,演员I|演员A|演员C|演员G,导演F,2010,63000000,155,0,公司D
M199,电影_M199,恐怖,演员J|演员D|演员G,导演F,2016,199000000,97,0,公司E
M200,电影_M200,爱情|动作|喜剧,演员D|演员B|演员F|演员E|演员G,导演G,2022,93000000,83,1,公司D
