车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
皮卡,混动,汽油,手动,1.9,1968.0,109.0,高速公路,严重拥堵,晴天,0.8,温和,23.7,33.8,0.39,0.19,0.42,385.0,2.6,0,2,17.0,0.204,0.267,0.433,0.202,2,0,1,4.8,0.084,0.002,0.872,18.32
皮卡,自然吸气,柴油,手动,2.2,1425.0,147.0,山区公路,严重拥堵,雪天,26.9,激进,45.0,24.2,0.67,0.56,0.22,477.0,2.6,0,5,122.0,1.772,0.47,0.917,0.704,0,0,0,5.4,0.158,0.127,1.517,25.0
MPV,混动,汽油,手动,1.3,1839.0,242.0,乡村公路,严重拥堵,雨天,8.7,标准,37.3,20.2,0.42,0.53,0.51,23.0,2.6,1,5,101.0,2.099,0.634,0.345,0.098,1,3,1,11.2,0.257,0.046,1.742,21.69
SUV,自然吸气,柴油,手动,2.0,2298.0,107.0,高速公路,缓行,雪天,26.8,温和,101.4,14.9,0.19,0.59,0.5,439.0,2.8,1,4,56.0,0.336,0.353,0.617,0.297,1,1,2,7.1,0.286,0.006,0.827,19.07
轿车,自然吸气,柴油,手动,2.5,2274.0,196.0,乡村公路,缓行,晴天,37.5,温和,109.6,18.6,0.11,0.73,0.07,160.0,3.0,0,4,115.0,0.813,0.235,0.262,0.119,2,1,0,1.9,0.225,0.026,0.816,17.1
轿车,涡轮增压,汽油,双离合,1.4,2190.0,285.0,山区公路,缓行,雪天,-5.9,激进,30.1,7.9,0.66,0.15,0.66,353.0,2.1,0,5,197.0,1.629,0.614,1.862,0.857,3,4,1,15.0,0.038,0.021,0.714,25.0
SUV,混动,柴油,自动,2.9,2170.0,275.0,乡村公路,严重拥堵,雾天,-9.4,温和,116.2,18.1,0.33,0.71,0.18,482.0,3.0,0,1,9.0,1.086,0.266,0.745,0.05,2,1,0,6.2,0.235,0.054,0.184,23.95
MPV,自然吸气,汽油,手动,2.9,1561.0,156.0,高速公路,畅通,晴天,24.9,激进,66.4,17.4,0.57,0.15,0.78,493.0,2.5,0,1,62.0,3.013,0.981,0.517,0.828,7,0,3,17.9,0.087,0.175,2.345,19.03
轿车,混动,汽油,自动,3.5,1809.0,224.0,高速公路,拥堵,雾天,17.8,温和,47.3,7.0,0.79,0.67,0.8,498.0,2.8,1,2,189.0,1.042,0.156,0.371,0.065,2,1,0,2.4,0.261,0.031,0.729,19.19
皮卡,插电混动,汽油,双离合,2.7,1929.0,363.0,城市道路,畅通,雾天,0.6,标准,60.3,9.7,0.12,0.63,0.5,352.0,2.1,1,4,3.0,1.036,0.58,0.661,0.296,2,2,2,16.9,0.156,0.031,0.989,22.03
轿车,自然吸气,汽油,自动,3.9,1840.0,199.0,山区公路,拥堵,晴天,-3.1,温和,83.3,13.4,0.16,0.19,0.1,76.0,2.6,0,5,36.0,0.513,0.41,0.387,0.21,0,0,0,2.8,0.144,0.011,0.217,20.2
皮卡,涡轮增压,柴油,手动,1.6,1674.0,251.0,高速公路,拥堵,雾天,36.0,温和,89.0,6.4,0.74,0.54,0.07,437.0,2.1,1,5,55.0,0.997,0.352,0.187,0.087,0,0,0,4.3,0.199,0.045,0.178,21.82
轿车,自然吸气,汽油,双离合,1.8,2127.0,369.0,城市道路,缓行,雨天,3.5,标准,71.2,23.6,0.19,0.41,0.43,121.0,2.4,1,2,4.0,0.976,0.285,0.572,0.125,4,0,1,14.2,0.142,0.015,0.726,21.94
皮卡,自然吸气,汽油,双离合,2.7,1663.0,396.0,山区公路,畅通,雾天,-0.7,标准,80.6,13.3,0.18,0.21,0.2,80.0,2.3,1,4,35.0,2.183,0.183,0.844,0.282,1,3,0,5.6,0.195,0.112,1.135,23.77
跑车,插电混动,汽油,手动,2.7,1564.0,331.0,高速公路,拥堵,雨天,20.5,温和,38.7,16.3,0.44,0.46,0.19,57.0,2.3,1,1,116.0,0.312,0.248,0.427,0.044,0,0,0,8.9,0.157,0.049,0.341,19.0
轿车,插电混动,汽油,手动,2.8,1813.0,224.0,城市道路,畅通,雨天,36.9,温和,54.9,37.5,0.76,0.78,0.1,365.0,2.2,0,4,13.0,0.928,0.284,0.641,0.068,1,0,0,7.6,0.26,0.031,0.419,17.28
轿车,涡轮增压,汽油,自动,3.6,1710.0,345.0,城市道路,严重拥堵,雪天,1.6,标准,63.9,18.2,0.47,0.31,0.6,251.0,2.9,1,2,77.0,1.441,0.827,0.981,0.123,3,2,2,7.7,0.101,0.089,0.35,25.0
MPV,插电混动,汽油,手动,3.6,1645.0,346.0,乡村公路,严重拥堵,雪天,1.5,温和,31.1,34.6,0.2,0.38,0.64,75.0,2.7,1,5,144.0,0.823,0.331,0.434,0.098,0,0,1,4.5,0.199,0.057,0.265,22.39
跑车,自然吸气,汽油,手动,2.8,1858.0,283.0,高速公路,拥堵,雨天,25.4,标准,21.8,35.5,0.85,0.5,0.56,461.0,2.2,0,3,115.0,1.574,0.451,1.136,0.565,2,2,3,9.0,0.057,0.04,1.504,25.0
MPV,涡轮增压,柴油,手动,3.8,1650.0,204.0,乡村公路,畅通,雪天,14.9,激进,93.8,20.8,0.28,0.42,0.11,88.0,2.4,0,3,183.0,1.592,0.859,1.489,0.101,3,1,3,21.4,0.061,0.162,0.912,22.37
轿车,自然吸气,汽油,CVT,1.6,1248.0,242.0,乡村公路,拥堵,雨天,10.0,激进,76.5,7.3,0.72,0.42,0.42,220.0,2.6,0,3,31.0,1.023,1.188,2.138,0.392,3,0,2,9.5,0.065,0.121,0.494,19.13
跑车,插电混动,柴油,手动,1.5,2049.0,171.0,城市道路,畅通,雾天,23.4,标准,29.9,13.5,0.68,0.7,0.66,199.0,2.2,0,3,59.0,2.182,0.13,0.238,0.172,0,0,1,16.4,0.229,0.041,0.689,19.08
SUV,混动,汽油,手动,2.1,1967.0,180.0,山区公路,严重拥堵,晴天,28.2,温和,82.4,19.3,0.54,0.41,0.24,474.0,2.1,0,5,174.0,0.662,0.409,0.612,0.145,0,0,0,6.3,0.137,0.008,0.776,23.62
轿车,混动,汽油,CVT,1.5,1554.0,106.0,山区公路,缓行,晴天,31.5,标准,111.4,9.1,0.56,0.29,0.44,326.0,2.2,0,3,2.0,0.587,0.822,1.326,0.383,2,2,1,5.5,0.211,0.01,1.205,13.09
SUV,涡轮增压,汽油,自动,1.7,1706.0,187.0,乡村公路,严重拥堵,雨天,36.8,温和,55.6,30.2,0.34,0.5,0.38,332.0,2.7,0,4,43.0,0.183,0.162,0.471,0.044,1,0,1,2.1,0.278,0.03,0.666,21.39
轿车,涡轮增压,柴油,手动,3.5,2239.0,308.0,山区公路,缓行,雪天,37.5,温和,47.2,25.7,0.39,0.16,0.73,68.0,2.4,1,1,37.0,0.719,0.4,0.565,0.248,2,0,0,3.2,0.356,0.057,0.18,22.58
皮卡,涡轮增压,汽油,自动,3.1,2403.0,154.0,山区公路,拥堵,雪天,38.6,温和,76.8,37.0,0.13,0.59,0.24,462.0,2.9,0,2,95.0,1.055,0.389,0.28,0.254,0,1,0,2.1,0.269,0.02,0.694,25.0
皮卡,混动,柴油,双离合,2.6,2228.0,196.0,城市道路,拥堵,雪天,-8.9,激进,82.6,36.0,0.59,0.26,0.02,435.0,2.9,1,1,106.0,3.408,1.115,2.246,0.374,6,2,0,7.0,0.083,0.052,1.117,25.0
轿车,混动,汽油,双离合,1.7,1255.0,105.0,乡村公路,畅通,晴天,29.3,激进,118.8,20.0,0.41,0.58,0.17,475.0,2.1,1,3,84.0,3.219,1.285,1.148,0.587,2,4,0,9.5,0.058,0.14,1.238,15.37
皮卡,自然吸气,柴油,双离合,3.1,1400.0,345.0,高速公路,拥堵,晴天,33.9,激进,42.4,12.8,0.53,0.52,0.46,46.0,2.3,0,5,26.0,3.25,1.298,1.965,0.746,2,1,1,15.7,0.042,0.04,1.987,23.54
跑车,涡轮增压,柴油,CVT,1.2,2307.0,249.0,山区公路,畅通,雪天,3.4,激进,68.1,25.7,0.76,0.34,0.54,283.0,2.9,0,3,159.0,2.524,1.175,1.975,0.664,5,2,1,12.0,0.142,0.029,2.29,25.0
跑车,混动,柴油,自动,1.0,1573.0,285.0,乡村公路,严重拥堵,雪天,-4.7,激进,118.1,27.1,0.31,0.54,0.43,390.0,2.8,0,4,108.0,3.483,0.58,1.49,0.845,2,0,1,6.0,0.117,0.062,1.847,25.0
皮卡,涡轮增压,柴油,自动,1.1,2333.0,392.0,山区公路,畅通,雪天,6.2,标准,116.9,31.2,0.2,0.63,0.02,11.0,2.5,1,5,154.0,1.735,0.468,0.498,0.598,2,2,0,13.2,0.192,0.033,1.726,25.0
跑车,混动,柴油,双离合,3.8,1746.0,292.0,山区公路,严重拥堵,雨天,0.7,激进,59.8,14.6,0.89,0.39,0.72,115.0,2.0,0,1,130.0,1.611,1.191,1.16,0.874,5,1,0,25.2,0.122,0.143,1.533,25.0
MPV,混动,汽油,自动,1.4,1363.0,306.0,高速公路,拥堵,雨天,29.9,温和,63.0,12.0,0.49,0.14,0.47,134.0,2.3,0,1,91.0,0.162,0.088,0.331,0.16,1,2,0,5.1,0.091,0.015,0.89,11.97
SUV,插电混动,汽油,双离合,2.9,2113.0,268.0,山区公路,严重拥堵,雨天,-6.1,激进,21.0,16.4,0.51,0.16,0.28,17.0,2.4,1,4,27.0,2.238,0.987,1.837,0.252,1,2,1,16.7,0.136,0.157,2.057,25.0
SUV,涡轮增压,汽油,双离合,3.4,1641.0,344.0,城市道路,严重拥堵,雨天,16.3,温和,28.0,36.3,0.54,0.67,0.36,322.0,2.7,0,5,16.0,0.213,0.156,0.17,0.265,0,1,0,7.4,0.258,0.03,0.567,25.0
SUV,自然吸气,柴油,双离合,4.0,2467.0,295.0,高速公路,严重拥堵,雪天,33.4,标准,40.0,28.8,0.16,0.12,0.21,231.0,2.7,1,2,149.0,1.194,0.39,0.632,0.593,0,2,1,16.1,0.248,0.051,0.715,25.0
皮卡,插电混动,柴油,自动,2.8,2386.0,163.0,高速公路,拥堵,雾天,-1.0,激进,82.3,27.1,0.69,0.19,0.57,455.0,2.2,1,4,194.0,1.02,1.18,1.199,0.29,4,0,2,19.3,0.079,0.139,0.744,25.0
轿车,混动,汽油,手动,1.7,1296.0,151.0,乡村公路,拥堵,雪天,25.3,激进,72.0,16.8,0.76,0.4,0.2,309.0,2.2,0,2,34.0,0.566,1.042,1.554,0.474,5,1,2,7.2,0.098,0.168,1.161,17.97
SUV,插电混动,汽油,CVT,2.5,1254.0,145.0,高速公路,畅通,雾天,12.7,标准,118.7,38.8,0.1,0.77,0.51,434.0,2.5,1,4,98.0,1.7,0.229,0.161,0.226,1,2,1,16.0,0.085,0.083,1.557,13.8
轿车,涡轮增压,柴油,手动,2.5,2003.0,361.0,山区公路,畅通,雾天,22.9,标准,77.1,6.1,0.84,0.58,0.54,108.0,2.4,1,3,130.0,0.524,0.633,1.499,0.086,4,2,0,13.0,0.227,0.091,1.497,22.95
皮卡,插电混动,汽油,双离合,2.3,2263.0,136.0,山区公路,缓行,雪天,9.4,标准,74.4,5.2,0.36,0.36,0.32,348.0,2.4,0,4,48.0,1.084,0.297,0.221,0.386,3,2,0,8.1,0.131,0.048,1.17,22.61
MPV,插电混动,汽油,手动,3.3,2257.0,315.0,山区公路,缓行,晴天,2.2,标准,115.6,5.6,0.26,0.11,0.52,449.0,2.9,0,4,12.0,2.262,0.394,0.26,0.322,1,1,1,12.2,0.206,0.033,0.92,21.62
SUV,插电混动,汽油,自动,1.4,1435.0,304.0,城市道路,拥堵,雾天,38.1,标准,38.1,23.4,0.67,0.17,0.45,128.0,2.5,1,3,161.0,1.455,0.154,0.994,0.574,3,0,1,15.6,0.248,0.042,0.655,20.38
MPV,插电混动,柴油,手动,3.5,1751.0,300.0,山区公路,拥堵,晴天,33.1,标准,29.6,26.8,0.46,0.51,0.13,368.0,2.2,0,3,19.0,0.35,0.621,0.958,0.355,1,1,1,13.4,0.136,0.051,1.376,22.16
SUV,自然吸气,汽油,自动,3.1,2489.0,139.0,城市道路,缓行,雨天,34.7,温和,30.4,30.4,0.56,0.29,0.06,43.0,2.2,0,2,65.0,0.388,0.198,0.108,0.17,0,1,0,8.1,0.255,0.032,0.393,24.55
皮卡,自然吸气,汽油,手动,4.0,2060.0,267.0,山区公路,拥堵,雪天,24.5,温和,93.1,21.3,0.15,0.49,0.77,88.0,2.2,0,3,107.0,0.252,0.236,0.582,0.124,3,0,0,8.9,0.338,0.032,0.782,25.0
轿车,自然吸气,柴油,自动,2.6,2011.0,127.0,山区公路,严重拥堵,雨天,5.2,温和,95.5,9.5,0.76,0.65,0.57,18.0,2.3,0,3,72.0,0.242,0.425,0.442,0.112,0,0,0,5.4,0.336,0.03,0.894,21.52
跑车,自然吸气,汽油,CVT,3.8,1351.0,345.0,乡村公路,严重拥堵,雪天,-6.0,温和,58.1,35.7,0.79,0.66,0.63,152.0,2.4,0,4,35.0,0.88,0.195,0.733,0.203,1,2,0,7.2,0.112,0.03,0.449,25.0
皮卡,自然吸气,柴油,自动,1.4,1678.0,120.0,乡村公路,严重拥堵,雨天,5.6,标准,22.6,9.7,0.87,0.48,0.77,216.0,2.5,1,5,88.0,0.522,0.62,0.418,0.395,1,0,1,3.9,0.269,0.007,1.343,22.42
跑车,插电混动,柴油,手动,3.1,1281.0,253.0,山区公路,拥堵,雪天,11.3,温和,119.7,33.5,0.59,0.31,0.5,264.0,2.1,1,4,177.0,0.622,0.136,0.314,0.142,3,0,0,1.6,0.138,0.046,0.253,23.09
SUV,插电混动,柴油,自动,2.6,1480.0,104.0,乡村公路,畅通,雾天,17.4,标准,44.1,39.2,0.74,0.77,0.39,55.0,2.5,1,2,169.0,0.506,0.501,0.327,0.235,2,1,4,13.3,0.143,0.031,1.561,16.28
MPV,混动,柴油,自动,3.0,2364.0,291.0,乡村公路,拥堵,晴天,24.0,激进,81.4,7.3,0.51,0.21,0.59,256.0,2.0,0,2,17.0,2.706,0.264,0.328,0.1,4,2,0,6.7,0.129,0.138,1.046,23.71
皮卡,插电混动,汽油,手动,1.1,1307.0,390.0,山区公路,严重拥堵,雾天,20.8,温和,49.5,31.9,0.6,0.37,0.16,61.0,2.8,1,2,129.0,0.707,0.076,0.728,0.246,0,2,1,6.4,0.098,0.02,0.846,21.48
皮卡,涡轮增压,柴油,CVT,2.3,1771.0,284.0,乡村公路,严重拥堵,雪天,4.3,标准,114.3,13.4,0.2,0.24,0.71,323.0,2.8,1,4,172.0,2.078,0.837,0.468,0.468,4,0,3,5.5,0.075,0.087,1.527,25.0
MPV,混动,柴油,手动,1.6,1858.0,352.0,高速公路,畅通,雨天,24.4,标准,93.3,24.0,0.57,0.46,0.24,283.0,2.9,0,2,127.0,1.898,0.245,0.757,0.065,3,2,2,5.8,0.125,0.094,1.131,14.93
SUV,插电混动,柴油,自动,1.4,1597.0,363.0,乡村公路,畅通,雨天,9.6,标准,119.6,17.9,0.46,0.61,0.71,297.0,2.4,1,2,139.0,0.307,0.603,0.611,0.489,0,1,1,11.7,0.171,0.067,1.205,14.43
MPV,自然吸气,汽油,CVT,3.0,2246.0,181.0,乡村公路,畅通,晴天,25.4,激进,102.5,22.4,0.16,0.14,0.27,392.0,2.8,0,4,103.0,1.837,0.353,0.859,0.442,1,5,2,13.7,0.156,0.069,1.737,22.68
轿车,自然吸气,柴油,自动,2.1,1635.0,108.0,山区公路,严重拥堵,雾天,3.0,标准,22.4,34.1,0.32,0.46,0.24,470.0,2.4,0,3,175.0,2.068,0.265,1.228,0.307,1,0,1,9.6,0.209,0.092,0.538,23.52
皮卡,自然吸气,汽油,手动,2.8,1376.0,325.0,山区公路,严重拥堵,晴天,2.3,激进,85.7,38.5,0.16,0.14,0.23,131.0,2.9,0,2,50.0,1.307,1.068,1.111,0.719,0,1,0,24.9,0.051,0.096,1.375,25.0
跑车,混动,汽油,自动,1.1,2063.0,389.0,高速公路,畅通,雾天,39.1,激进,76.0,37.8,0.14,0.39,0.21,365.0,2.3,1,4,131.0,1.074,0.841,1.14,0.877,2,0,0,10.1,0.158,0.101,1.628,23.84
皮卡,混动,柴油,自动,1.3,2318.0,317.0,乡村公路,畅通,晴天,-1.7,温和,26.8,29.8,0.53,0.16,0.37,242.0,2.9,1,1,170.0,0.852,0.24,0.344,0.206,1,0,1,1.9,0.296,0.012,0.344,18.14
SUV,涡轮增压,汽油,双离合,3.3,1875.0,161.0,城市道路,缓行,晴天,28.6,标准,107.8,35.8,0.8,0.27,0.36,492.0,2.0,1,3,13.0,1.274,0.829,0.863,0.329,0,2,2,10.8,0.11,0.095,1.166,25.0
轿车,涡轮增压,柴油,自动,2.9,2237.0,219.0,乡村公路,严重拥堵,晴天,32.9,激进,111.5,23.7,0.23,0.59,0.63,158.0,2.9,1,5,55.0,3.548,0.345,0.598,0.239,3,1,4,26.6,0.13,0.114,0.823,25.0
SUV,插电混动,汽油,手动,1.5,1216.0,268.0,高速公路,缓行,雪天,32.9,温和,72.7,30.2,0.81,0.16,0.59,94.0,2.8,0,2,108.0,0.896,0.183,0.385,0.252,1,0,1,2.8,0.274,0.05,0.225,12.17
MPV,混动,柴油,双离合,1.7,1385.0,204.0,城市道路,严重拥堵,雪天,13.6,激进,65.0,31.2,0.62,0.53,0.28,421.0,3.0,1,5,127.0,0.848,0.971,0.853,0.646,1,2,1,20.1,0.107,0.055,0.928,25.0
跑车,插电混动,柴油,CVT,3.6,2196.0,337.0,城市道路,畅通,雾天,12.4,激进,86.5,14.1,0.83,0.57,0.45,55.0,2.5,1,1,173.0,2.172,0.625,2.202,0.18,1,3,2,22.6,0.033,0.173,2.085,25.0
轿车,涡轮增压,汽油,双离合,1.9,2278.0,184.0,乡村公路,畅通,雨天,-9.4,标准,107.3,8.9,0.66,0.48,0.08,121.0,2.5,1,2,60.0,1.557,0.352,0.534,0.461,0,4,0,4.2,0.099,0.095,0.352,20.17
跑车,插电混动,柴油,CVT,1.2,2281.0,280.0,城市道路,严重拥堵,雪天,18.6,标准,31.5,8.3,0.83,0.57,0.66,439.0,2.5,1,1,86.0,0.966,0.459,1.188,0.385,3,2,1,8.8,0.155,0.078,1.726,25.0
SUV,混动,柴油,手动,2.8,2167.0,252.0,山区公路,拥堵,雾天,-3.0,激进,83.4,7.5,0.3,0.35,0.38,23.0,2.3,1,1,194.0,1.494,0.744,0.586,0.585,1,1,0,9.4,0.036,0.019,1.212,25.0
MPV,混动,柴油,双离合,2.5,1582.0,380.0,城市道路,严重拥堵,晴天,33.7,激进,59.7,8.0,0.59,0.18,0.28,254.0,2.5,1,1,140.0,3.577,0.334,0.749,0.41,5,3,1,10.3,0.039,0.109,1.995,25.0
SUV,混动,柴油,自动,1.3,1699.0,237.0,山区公路,畅通,雨天,7.7,标准,56.9,9.2,0.44,0.63,0.06,40.0,2.9,1,4,134.0,1.725,0.402,0.939,0.065,5,1,1,3.2,0.14,0.035,1.029,17.06
皮卡,自然吸气,汽油,手动,1.4,1926.0,203.0,高速公路,缓行,雪天,3.8,激进,92.9,27.8,0.78,0.58,0.34,336.0,2.3,1,1,158.0,1.856,1.114,1.882,0.785,4,3,0,14.2,0.051,0.16,1.228,25.0
SUV,自然吸气,柴油,CVT,1.5,1233.0,294.0,城市道路,缓行,雾天,20.3,激进,83.7,16.9,0.16,0.39,0.25,339.0,2.4,1,4,44.0,3.562,0.711,1.605,0.204,1,3,0,13.2,0.054,0.004,2.151,21.29
皮卡,插电混动,汽油,自动,3.7,1351.0,387.0,山区公路,缓行,雾天,38.1,温和,51.4,36.1,0.58,0.68,0.79,144.0,2.4,0,3,77.0,0.507,0.271,0.166,0.18,2,0,0,3.4,0.118,0.003,0.407,20.37
皮卡,混动,柴油,双离合,1.8,2456.0,267.0,城市道路,拥堵,雪天,10.1,激进,54.7,25.3,0.21,0.41,0.5,244.0,3.0,0,4,176.0,2.414,0.846,1.465,0.253,1,2,5,22.3,0.049,0.143,1.07,25.0
跑车,插电混动,柴油,自动,3.9,1828.0,359.0,乡村公路,严重拥堵,雾天,15.6,标准,78.9,18.1,0.33,0.24,0.61,193.0,2.5,0,5,115.0,2.118,0.885,0.682,0.507,3,0,1,15.7,0.246,0.007,1.625,25.0
皮卡,涡轮增压,柴油,双离合,2.3,1864.0,288.0,城市道路,拥堵,雾天,-3.3,激进,112.6,5.7,0.48,0.58,0.58,346.0,2.3,1,2,72.0,2.984,0.506,0.616,0.866,0,3,0,21.1,0.155,0.133,0.771,25.0
皮卡,自然吸气,汽油,双离合,3.0,2196.0,354.0,乡村公路,畅通,雾天,-6.7,温和,81.4,8.1,0.49,0.15,0.33,204.0,2.3,0,2,22.0,0.999,0.43,0.11,0.288,1,0,0,7.5,0.272,0.003,0.205,22.59
皮卡,涡轮增压,汽油,双离合,2.2,1584.0,170.0,山区公路,拥堵,雪天,13.8,激进,48.1,33.1,0.84,0.38,0.72,161.0,2.2,0,3,128.0,3.534,0.886,0.921,0.615,2,2,0,19.9,0.066,0.129,2.301,25.0
跑车,插电混动,柴油,CVT,2.6,1386.0,333.0,山区公路,畅通,晴天,27.4,温和,47.1,22.4,0.33,0.19,0.5,27.0,2.3,0,1,0.0,0.687,0.078,0.251,0.221,0,1,0,7.1,0.155,0.006,0.42,14.04
皮卡,自然吸气,汽油,手动,1.8,2296.0,194.0,山区公路,缓行,雪天,-5.5,温和,98.9,36.2,0.45,0.74,0.3,482.0,2.7,1,1,99.0,0.557,0.307,0.546,0.031,0,1,3,3.7,0.092,0.047,0.633,25.0
MPV,混动,柴油,双离合,3.9,1851.0,230.0,山区公路,缓行,雨天,10.8,激进,65.8,12.3,0.39,0.36,0.04,384.0,2.8,0,2,170.0,1.118,0.949,1.158,0.803,3,0,2,19.0,0.089,0.128,0.898,24.11
SUV,自然吸气,柴油,双离合,3.7,1574.0,210.0,高速公路,严重拥堵,雨天,9.0,温和,25.8,8.9,0.51,0.29,0.67,7.0,2.3,1,4,4.0,0.281,0.221,0.4,0.139,1,0,0,8.7,0.216,0.041,0.384,19.45
MPV,自然吸气,柴油,CVT,2.6,2469.0,138.0,乡村公路,缓行,晴天,4.7,标准,21.7,32.0,0.75,0.18,0.21,9.0,2.8,1,4,104.0,1.031,0.41,0.122,0.222,3,3,0,7.5,0.06,0.027,0.67,23.3
MPV,插电混动,柴油,自动,2.5,2172.0,242.0,高速公路,严重拥堵,雾天,38.1,温和,25.8,38.5,0.85,0.65,0.79,272.0,2.1,1,5,73.0,0.387,0.136,0.157,0.198,2,1,0,6.6,0.138,0.021,0.838,22.24
MPV,混动,柴油,手动,3.7,2120.0,119.0,城市道路,严重拥堵,雪天,16.5,温和,34.7,5.3,0.6,0.41,0.11,479.0,2.2,1,3,100.0,0.864,0.09,0.25,0.248,1,0,0,2.7,0.194,0.013,0.187,24.03
SUV,混动,汽油,手动,3.5,2476.0,338.0,高速公路,拥堵,雨天,25.6,激进,105.4,13.5,0.87,0.24,0.76,497.0,3.0,0,3,114.0,1.268,0.691,1.409,0.149,7,2,2,18.9,0.13,0.029,1.721,25.0
皮卡,自然吸气,柴油,双离合,1.0,1212.0,207.0,高速公路,畅通,雪天,26.4,标准,112.6,13.0,0.61,0.26,0.26,424.0,2.1,0,2,86.0,0.361,0.495,1.034,0.124,1,2,1,8.9,0.215,0.11,1.726,15.27
SUV,混动,柴油,CVT,2.7,1664.0,336.0,高速公路,拥堵,雾天,35.9,标准,45.1,24.7,0.39,0.56,0.19,96.0,2.1,0,4,101.0,0.764,0.15,0.17,0.155,3,1,1,7.2,0.124,0.107,1.72,19.85
轿车,涡轮增压,汽油,手动,3.3,1819.0,249.0,山区公路,拥堵,晴天,-6.4,标准,40.5,25.7,0.25,0.33,0.68,104.0,2.1,1,5,188.0,1.365,0.439,1.239,0.511,3,0,2,9.4,0.053,0.015,1.448,25.0
轿车,插电混动,柴油,自动,1.0,1742.0,257.0,乡村公路,严重拥堵,雪天,-9.9,温和,25.5,39.1,0.28,0.31,0.24,115.0,2.7,1,1,193.0,0.386,0.319,0.572,0.259,1,0,1,2.9,0.171,0.054,0.755,17.16
