customer_id,survey_date,nps_score,purchase_id,ease_of_use,product_quality,customer_service
CUST_000025,2024-09-11,10,589,5,5,5
CUST_000025,2024-11-26,9,592,4,5,5
CUST_000026,2023-04-24,10,606,5,5,4
CUST_000026,2023-06-16,5,608,2,2,3
CUST_000026,2024-08-12,10,617,4,5,5
CUST_000027,2025-07-12,7,639,3,3,3
CUST_000028,2024-12-23,10,661,5,5,5
CUST_000028,2025-04-20,10,666,5,5,5
CUST_000029,2023-07-29,5,678,2,3,1
CUST_000029,2024-10-11,4,684,2,2,3
CUST_000030,2023-02-28,7,689,3,4,4
CUST_000030,2025-08-15,9,709,5,5,2
CUST_000031,2023-05-12,9,712,4,5,4
CUST_000031,2024-07-12,5,718,2,3,2
CUST_000032,2023-03-19,10,733,5,5,5
CUST_000032,2024-12-13,5,741,2,3,2
CUST_000033,2023-04-22,9,751,5,4,5
CUST_000033,2024-02-12,6,755,3,4,4
CUST_000033,2024-06-26,8,760,4,4,4
CUST_000034,2023-12-11,7,780,3,4,3
CUST_000034,2024-10-25,7,786,3,3,4
CUST_000035,2024-11-24,10,817,5,5,5
CUST_000036,2023-04-19,10,839,5,4,5
CUST_000036,2023-12-20,10,845,5,5,5
CUST_000037,2023-08-31,10,870,5,5,5
CUST_000037,2024-12-01,10,875,5,5,5
CUST_000038,2023-05-03,4,883,2,2,1
CUST_000038,2024-07-11,10,886,5,5,5
CUST_000038,2025-11-03,5,892,4,2,2
CUST_000039,2023-08-09,9,903,5,5,5
CUST_000039,2023-10-29,10,908,5,4,4
CUST_000039,2025-09-05,10,922,5,5,5
CUST_000040,2024-09-12,8,938,3,5,2
CUST_000041,2024-03-24,10,965,5,5,5
CUST_000041,2025-07-31,10,988,5,5,5
CUST_000042,2024-01-01,10,1005,4,5,5
CUST_000043,2023-01-28,9,1015,4,5,4
CUST_000043,2024-02-09,6,1024,3,3,3
CUST_000043,2025-11-19,9,1035,5,4,5
CUST_000044,2024-06-07,7,1044,4,3,3
CUST_000045,2023-02-09,8,1055,4,4,5
CUST_000045,2023-07-05,9,1060,4,5,5
CUST_000045,2025-10-17,5,1068,2,3,4
CUST_000046,2023-03-25,9,1071,5,5,4
CUST_000046,2024-04-26,10,1077,5,5,5
CUST_000046,2024-11-25,9,1081,5,5,4
CUST_000047,2024-03-04,10,1097,5,5,5
CUST_000047,2025-08-08,10,1109,5,4,4
CUST_000047,2025-12-26,10,1113,5,5,5
CUST_000048,2024-03-25,10,1125,5,4,3
CUST_000049,2024-06-15,10,1141,5,5,5
CUST_000050,2025-11-22,7,1184,3,3,4
CUST_000051,2024-07-21,9,1199,4,5,4
CUST_000051,2024-10-01,8,1201,5,4,3
CUST_000051,2025-08-04,10,1207,5,5,5
CUST_000052,2023-12-25,10,1222,5,5,5
CUST_000052,2023-12-29,10,1223,5,5,5
CUST_000052,2024-03-28,10,1230,5,5,5
CUST_000053,2024-06-18,6,1259,3,2,4
CUST_000053,2024-09-21,9,1260,4,5,3
CUST_000054,2025-05-06,9,1295,5,4,4
CUST_000054,2025-06-23,10,1297,5,5,5
CUST_000055,2024-09-07,10,1327,5,5,5
CUST_000056,2024-01-04,4,1351,2,3,2
CUST_000056,2024-07-04,7,1354,4,4,3
CUST_000057,2024-08-20,8,1371,3,4,3
CUST_000057,2024-09-11,8,1372,4,4,2
CUST_000058,2023-03-08,10,1381,5,5,5
CUST_000058,2023-05-13,10,1383,5,5,5
CUST_000059,2023-04-14,10,1426,5,5,5
CUST_000060,2023-12-28,7,1441,4,4,4
CUST_000060,2024-03-09,9,1442,5,5,4
CUST_000060,2025-05-31,10,1450,5,5,5
CUST_000061,2023-06-24,9,1458,4,4,5
CUST_000061,2024-03-08,8,1462,4,4,4
CUST_000061,2025-05-24,8,1468,5,3,5
CUST_000062,2024-05-11,10,1477,5,5,5
CUST_000062,2025-04-21,9,1480,5,5,5
CUST_000063,2023-01-05,10,1482,5,5,5
CUST_000063,2025-03-12,10,1517,5,5,5
CUST_000063,2025-10-06,10,1525,5,5,5
CUST_000064,2023-11-30,10,1536,5,5,5
CUST_000064,2025-12-14,10,1563,5,5,5
CUST_000065,2024-04-30,9,1572,5,4,5
CUST_000066,2024-08-31,8,1594,4,4,3
CUST_000066,2025-07-20,10,1604,5,5,5
CUST_000066,2025-08-16,7,1608,4,4,3
CUST_000067,2023-04-22,8,1613,3,4,5
CUST_000067,2023-11-09,10,1619,5,5,5
CUST_000068,2024-02-02,7,1637,4,4,4
CUST_000068,2025-07-23,7,1648,3,3,4
CUST_000069,2023-01-16,9,1651,5,4,3
CUST_000069,2025-01-21,10,1665,5,5,4
CUST_000069,2025-12-28,10,1674,5,5,5
CUST_000070,2024-02-12,8,1684,4,4,4
CUST_000070,2025-09-23,7,1691,4,3,3
CUST_000071,2023-09-15,7,1695,3,4,2
CUST_000071,2023-10-03,4,1697,3,2,3
CUST_000071,2025-05-06,7,1705,3,3,3
CUST_000072,2024-03-16,9,1718,4,4,5
CUST_000072,2024-08-19,8,1725,4,5,4
CUST_000072,2025-05-07,9,1729,5,5,4
CUST_000073,2024-08-23,10,1744,5,5,5
CUST_000074,2023-08-18,6,1749,3,4,5
CUST_000074,2024-01-08,6,1750,3,3,2
CUST_000075,2024-02-13,7,1767,3,4,4
CUST_000075,2024-10-15,10,1773,5,5,4
CUST_000075,2025-06-29,8,1778,4,4,5
CUST_000076,2023-01-06,9,1781,4,4,4
CUST_000076,2024-05-22,9,1786,5,4,5
CUST_000076,2024-11-06,9,1790,5,5,4
CUST_000077,2023-01-29,7,1795,3,3,5
CUST_000077,2025-06-27,10,1810,5,5,5
CUST_000078,2023-06-29,7,1813,4,4,3
CUST_000078,2024-01-03,7,1816,3,3,3
CUST_000078,2024-06-03,7,1817,4,4,4
CUST_000079,2023-08-16,10,1824,4,5,5
CUST_000079,2024-09-04,10,1830,5,4,5
CUST_000080,2024-06-06,10,1852,5,4,4
CUST_000081,2023-05-08,10,1869,5,5,5
CUST_000081,2024-12-12,10,1885,5,5,5
CUST_000081,2025-11-25,10,1895,5,5,5
CUST_000082,2023-08-26,10,1901,5,5,5
CUST_000082,2025-12-06,9,1942,4,5,5
CUST_000083,2023-03-18,10,1948,5,5,5
CUST_000083,2024-10-24,8,1975,4,4,4
CUST_000083,2025-12-14,10,1992,5,5,5
CUST_000084,2023-09-26,10,1998,5,5,5
CUST_000084,2025-08-30,6,2011,3,3,4
CUST_000084,2025-11-16,9,2013,5,5,5
CUST_000085,2024-09-23,7,2025,4,3,3
CUST_000086,2024-10-29,9,2038,5,5,4
CUST_000086,2025-12-24,6,2045,4,3,3
CUST_000087,2024-04-01,8,2051,3,4,4
CUST_000087,2024-06-18,8,2054,4,5,4
CUST_000087,2025-05-13,8,2062,5,4,5
CUST_000088,2025-01-14,10,2085,5,5,5
CUST_000088,2025-09-18,10,2093,5,5,3
CUST_000089,2024-03-12,9,2107,4,4,5
CUST_000089,2025-01-29,10,2121,5,5,5
CUST_000089,2025-10-03,10,2128,5,5,5
CUST_000090,2024-01-09,7,2137,4,3,3
CUST_000090,2026-01-04,2,2153,1,1,1
CUST_000091,2024-03-31,7,2163,4,4,3
CUST_000091,2025-06-28,9,2176,5,5,4
CUST_000092,2024-03-29,9,2188,5,5,4
CUST_000092,2024-06-22,7,2189,3,3,3
CUST_000092,2025-02-12,6,2190,3,4,2
CUST_000093,2023-07-01,10,2197,5,4,4
CUST_000093,2024-12-22,6,2208,3,4,3
CUST_000093,2025-05-21,9,2210,5,5,5
CUST_000094,2023-12-27,10,2230,5,5,5
CUST_000094,2024-01-27,10,2231,5,5,5
CUST_000095,2023-10-04,7,2268,4,3,5
CUST_000096,2023-06-20,10,2284,5,5,5
CUST_000096,2024-06-03,10,2294,5,5,5
CUST_000097,2025-11-25,9,2322,5,3,3
CUST_000097,2025-12-08,6,2323,4,4,2
CUST_000098,2023-12-03,10,2338,5,5,5
CUST_000098,2025-09-06,10,2361,5,5,5
CUST_000099,2023-02-18,9,2364,4,4,3
CUST_000099,2023-03-03,9,2366,5,4,4
CUST_000099,2024-03-23,10,2371,5,4,5
CUST_000100,2025-12-19,10,2407,5,5,3
CUST_000101,2023-03-29,10,2409,4,5,5
CUST_000101,2023-09-30,10,2415,5,5,5
CUST_000101,2024-09-10,9,2428,5,4,5
CUST_000102,2023-04-20,6,2439,3,3,3
CUST_000103,2023-02-11,7,2450,4,3,3
CUST_000104,2025-01-02,10,2473,4,4,5
CUST_000105,2023-05-01,10,2483,5,5,5
CUST_000105,2024-09-05,10,2494,5,5,5
CUST_000105,2026-01-05,8,2511,4,3,2
CUST_000106,2024-01-24,9,2520,5,4,5
CUST_000107,2025-04-05,9,2555,5,5,5
CUST_000108,2025-12-24,5,2577,3,3,3
CUST_000109,2023-08-03,9,2584,5,5,5
CUST_000110,2023-05-06,9,2610,5,4,4
CUST_000110,2024-07-04,10,2623,5,4,4
CUST_000110,2025-07-01,10,2629,5,5,5
CUST_000111,2025-01-25,9,2645,5,4,3
CUST_000111,2025-10-01,9,2650,5,4,3
CUST_000112,2024-09-07,10,2669,5,5,5
CUST_000113,2024-09-17,10,2683,5,5,5
CUST_000113,2025-03-24,10,2691,5,5,5
CUST_000114,2026-01-03,8,2713,4,3,3
CUST_000115,2023-10-06,10,2726,4,5,5
CUST_000115,2024-10-31,10,2740,5,5,5
CUST_000115,2025-02-11,10,2744,5,5,5
CUST_000116,2023-12-04,7,2763,3,4,4
CUST_000116,2025-11-30,9,2781,5,5,3
CUST_000117,2023-09-27,7,2788,3,3,5
CUST_000117,2024-07-23,8,2789,4,3,4
CUST_000118,2024-07-16,10,2823,5,5,5
CUST_000118,2024-08-21,10,2824,5,5,5
CUST_000118,2024-08-31,10,2826,5,5,5
CUST_000119,2023-12-08,8,2842,4,3,4
CUST_000119,2024-01-11,5,2843,2,3,2
CUST_000120,2023-03-31,9,2854,4,4,4
CUST_000121,2024-05-05,10,2903,5,5,5
CUST_000122,2025-04-12,9,2932,4,4,4
CUST_000122,2025-06-01,7,2934,2,3,4
CUST_000122,2025-10-25,8,2935,4,5,3
CUST_000123,2023-07-25,10,2941,5,5,5
CUST_000123,2024-01-04,10,2944,5,5,5
CUST_000123,2024-02-11,8,2945,5,5,5
CUST_000124,2023-05-19,7,2968,4,4,3
CUST_000124,2024-10-05,9,2973,4,4,5
CUST_000125,2025-03-04,6,2994,4,3,2
CUST_000126,2023-08-31,5,3004,2,2,1
CUST_000127,2023-01-29,6,3016,3,2,3
CUST_000127,2024-01-15,8,3020,5,4,4
CUST_000128,2023-11-28,7,3035,3,4,2
CUST_000128,2023-12-14,6,3036,3,3,2
CUST_000128,2024-05-17,5,3042,3,2,2
CUST_000129,2023-04-15,5,3056,2,2,3
CUST_000129,2024-03-26,8,3062,3,4,4
CUST_000129,2024-08-17,8,3063,4,4,3
CUST_000130,2023-12-10,10,3071,5,5,5
CUST_000131,2023-05-29,10,3090,5,5,5
CUST_000131,2025-07-03,7,3109,4,5,3
CUST_000132,2023-03-08,10,3113,5,5,5
CUST_000132,2024-11-08,10,3130,5,5,5
CUST_000132,2025-08-22,10,3139,5,5,5
CUST_000133,2023-06-19,8,3145,4,3,4
CUST_000134,2023-12-15,10,3164,5,5,5
CUST_000134,2024-12-04,5,3166,2,2,2
CUST_000134,2025-08-02,10,3172,4,5,5
CUST_000135,2023-06-19,10,3179,5,4,5
CUST_000135,2025-07-28,5,3185,2,2,2
CUST_000135,2025-09-14,7,3186,3,4,5
CUST_000136,2023-06-28,6,3188,3,2,3
CUST_000136,2024-02-26,9,3192,4,4,4
CUST_000136,2024-08-18,8,3199,3,4,5
CUST_000137,2023-03-17,9,3207,4,3,5
CUST_000137,2025-02-06,10,3231,5,5,5
CUST_000138,2023-05-31,10,3256,5,5,5
CUST_000138,2023-11-17,10,3260,5,5,5
CUST_000139,2025-12-04,8,3290,3,5,4
CUST_000140,2025-03-13,4,3298,2,2,1
CUST_000140,2026-01-09,10,3303,5,5,5
CUST_000141,2024-12-27,5,3313,3,4,4
CUST_000142,2025-05-01,10,3333,5,5,5
CUST_000142,2025-07-27,10,3337,5,5,5
CUST_000142,2025-11-23,10,3341,5,5,4
CUST_000143,2025-03-27,10,3353,5,5,5
CUST_000144,2023-08-11,10,3365,5,5,5
CUST_000144,2023-08-19,10,3368,5,5,5
CUST_000144,2024-11-05,10,3387,5,5,5
CUST_000145,2023-10-26,10,3415,5,5,5
CUST_000146,2023-03-13,8,3436,5,4,4
CUST_000146,2024-02-14,8,3441,5,5,3
CUST_000147,2023-03-09,9,3452,5,5,4
CUST_000147,2023-07-09,5,3453,2,2,3
CUST_000147,2025-03-20,5,3462,2,2,3
CUST_000148,2023-07-01,10,3472,5,5,5
CUST_000148,2025-12-28,10,3506,5,5,5
CUST_000149,2025-04-11,7,3515,4,4,4
CUST_000149,2025-10-01,9,3520,5,4,4
CUST_000149,2025-12-23,6,3522,3,3,2
CUST_000150,2023-05-27,10,3524,5,5,5
CUST_000150,2023-10-17,10,3528,5,5,5
CUST_000150,2024-08-20,10,3539,5,5,4
CUST_000151,2023-04-13,8,3556,4,5,3
CUST_000151,2023-05-21,6,3559,2,3,4
CUST_000151,2025-10-15,9,3570,5,5,5
CUST_000152,2023-03-29,8,3576,4,5,5
CUST_000152,2024-04-30,7,3581,3,3,4
CUST_000152,2025-12-12,6,3592,3,3,3
CUST_000153,2023-05-21,7,3600,4,4,3
CUST_000153,2024-06-29,9,3618,5,4,5
CUST_000153,2025-04-13,10,3629,5,5,5
CUST_000154,2023-02-07,7,3643,5,3,4
CUST_000154,2023-03-02,9,3644,5,5,4
CUST_000154,2024-01-19,6,3649,2,3,2
CUST_000155,2024-10-01,10,3681,5,5,5
CUST_000155,2025-05-11,10,3687,5,5,5
CUST_000156,2023-10-29,9,3699,4,5,4
CUST_000156,2023-12-18,8,3701,3,4,4
CUST_000157,2024-02-10,10,3721,5,5,5
CUST_000157,2025-06-20,10,3732,5,5,5
CUST_000157,2025-07-16,10,3733,5,5,5
CUST_000158,2023-06-24,10,3744,5,5,4
CUST_000158,2023-09-01,10,3745,5,5,5
CUST_000159,2023-09-17,7,3770,3,3,4
CUST_000159,2024-08-06,8,3778,4,4,4
CUST_000160,2024-08-20,10,3800,5,5,5
CUST_000161,2023-02-18,6,3813,2,3,3
CUST_000161,2025-02-26,9,3821,5,4,4
CUST_000161,2025-06-01,7,3825,4,4,3
CUST_000162,2023-03-10,9,3829,4,4,4
CUST_000163,2024-11-14,10,3869,5,5,4
CUST_000163,2025-04-30,10,3873,5,5,5
CUST_000163,2025-05-16,10,3874,5,5,3
CUST_000164,2023-09-10,10,3881,5,5,5
CUST_000164,2023-11-26,10,3883,5,5,5
CUST_000165,2025-01-20,10,3927,5,5,5
CUST_000166,2023-03-24,6,3944,3,3,3
CUST_000167,2023-10-05,10,3963,5,5,5
CUST_000167,2025-06-07,10,3971,5,5,4
CUST_000168,2023-05-20,6,3979,3,3,3
CUST_000168,2023-08-16,10,3981,5,5,5
CUST_000168,2024-06-14,10,3988,5,5,5
CUST_000169,2023-12-30,9,4012,3,5,5
CUST_000169,2024-03-15,10,4015,5,5,5
CUST_000169,2024-07-31,10,4020,5,5,5
CUST_000170,2023-11-05,8,4039,4,4,4
CUST_000170,2024-12-15,8,4044,4,4,4
CUST_000171,2024-04-25,8,4058,3,5,5
CUST_000171,2024-11-23,7,4061,3,3,3
CUST_000171,2025-12-29,7,4064,4,3,3
CUST_000172,2023-02-03,10,4065,5,5,5
CUST_000172,2025-01-21,10,4098,5,5,5
CUST_000172,2025-08-13,10,4106,5,5,5
CUST_000173,2025-03-23,10,4132,5,5,5
CUST_000173,2025-10-26,10,4137,5,5,5
CUST_000174,2024-05-11,4,4145,1,2,1
CUST_000174,2025-03-31,6,4149,4,3,4
CUST_000175,2023-12-27,9,4156,5,5,4
CUST_000176,2023-11-11,6,4174,2,3,3
CUST_000176,2024-05-31,10,4178,5,5,5
CUST_000177,2023-09-05,10,4202,5,5,5
CUST_000178,2023-07-31,6,4228,3,3,4
CUST_000178,2023-09-28,8,4229,4,4,5
CUST_000178,2025-01-18,7,4235,3,3,4
CUST_000179,2024-02-12,10,4256,5,5,4
CUST_000179,2024-03-19,10,4257,5,5,5
CUST_000179,2025-08-01,10,4277,5,5,5
CUST_000180,2023-07-09,9,4288,4,4,5
CUST_000181,2025-09-10,6,4304,2,2,3
CUST_000182,2024-02-23,10,4317,5,5,5
CUST_000183,2024-05-25,8,4336,4,4,3
CUST_000183,2024-06-17,9,4338,5,5,5
CUST_000183,2025-04-11,10,4346,5,3,5
CUST_000184,2023-02-15,7,4352,3,3,3
CUST_000184,2024-04-10,10,4359,4,5,5
CUST_000184,2025-01-20,6,4366,3,3,3
CUST_000185,2023-05-07,10,4374,5,5,5
CUST_000186,2025-08-02,8,4418,3,4,4
CUST_000187,2024-09-17,5,4426,3,3,2
CUST_000188,2024-05-04,10,4439,5,5,5
CUST_000189,2023-02-23,10,4451,5,5,5
CUST_000189,2023-04-30,9,4453,5,5,5
CUST_000189,2025-01-21,10,4472,5,5,4
CUST_000190,2024-02-05,10,4489,5,5,4
CUST_000190,2025-05-30,7,4505,4,4,4
CUST_000190,2025-12-27,10,4509,5,5,5
CUST_000191,2023-10-25,8,4515,4,3,4
CUST_000191,2024-03-17,6,4518,4,3,3
CUST_000191,2025-11-27,10,4533,5,5,5
CUST_000192,2024-08-21,8,4540,4,3,4
CUST_000192,2024-10-08,10,4541,5,5,5
CUST_000192,2025-03-16,8,4542,4,4,4
CUST_000193,2023-03-12,6,4547,3,3,2
CUST_000193,2025-10-04,7,4564,3,4,4
CUST_000194,2023-03-24,10,4573,5,5,5
CUST_000194,2023-07-11,10,4576,5,5,5
CUST_000195,2025-11-18,8,4630,5,4,4
CUST_000196,2023-07-09,8,4633,4,4,4
CUST_000196,2024-12-08,8,4639,4,4,2
CUST_000196,2025-08-29,10,4642,4,5,5
CUST_000197,2023-04-02,7,4645,4,4,4
CUST_000197,2024-06-27,9,4655,5,4,4
CUST_000198,2023-06-13,9,4664,5,4,5
CUST_000198,2024-11-28,8,4670,4,4,3
CUST_000198,2025-01-01,7,4671,3,4,4
CUST_000199,2025-05-18,10,4704,5,5,5
CUST_000200,2023-04-23,10,4713,5,4,5
CUST_000200,2023-05-24,7,4716,3,4,4
CUST_000201,2023-02-23,6,4736,3,3,4
CUST_000201,2024-01-04,5,4740,2,2,2
CUST_000201,2024-04-25,3,4741,1,1,2
CUST_000202,2024-05-17,8,4756,3,4,5
CUST_000202,2025-09-22,8,4761,5,4,5
CUST_000203,2024-02-24,9,4770,5,4,4
CUST_000203,2024-07-14,10,4774,5,5,4
CUST_000203,2024-11-22,9,4778,3,3,5
CUST_000204,2025-10-24,10,4812,5,5,5
CUST_000205,2023-06-15,10,4817,5,5,5
CUST_000205,2025-06-15,6,4826,3,2,3
CUST_000205,2025-12-21,9,4830,5,5,5
CUST_000206,2023-12-26,8,4837,4,4,4
CUST_000206,2024-05-27,9,4839,5,4,5
CUST_000206,2025-08-09,9,4851,4,4,4
CUST_000207,2023-02-20,10,4854,5,5,5
CUST_000207,2024-10-08,10,4879,4,5,5
CUST_000208,2024-01-05,8,4907,4,5,4
CUST_000208,2025-02-15,10,4917,5,5,5
CUST_000208,2025-08-23,10,4922,5,5,5
CUST_000209,2024-04-30,6,4941,3,2,4
CUST_000209,2024-08-05,7,4942,4,2,4
CUST_000210,2024-03-23,7,4956,4,3,3
CUST_000211,2025-06-16,10,4990,4,5,5
CUST_000211,2025-08-24,10,4993,5,5,5
CUST_000212,2023-04-16,8,4997,4,4,4
CUST_000212,2025-05-30,4,5002,2,2,1
CUST_000212,2025-07-30,8,5003,4,4,4
CUST_000213,2023-05-23,10,5007,5,5,4
CUST_000213,2024-05-09,10,5019,5,5,5
CUST_000213,2025-12-09,10,5035,5,5,5
CUST_000214,2023-12-19,7,5045,3,4,4
CUST_000215,2024-06-22,10,5070,5,4,4
CUST_000215,2024-06-30,9,5072,5,5,4
CUST_000215,2024-12-31,7,5075,4,3,2
CUST_000216,2024-02-15,5,5087,3,3,3
CUST_000216,2025-09-08,3,5092,2,2,1
CUST_000217,2023-01-22,9,5093,4,5,5
CUST_000217,2025-03-21,10,5114,5,5,5
CUST_000218,2024-01-22,9,5127,3,4,4
CUST_000218,2024-06-30,9,5133,4,5,4
CUST_000219,2023-03-03,10,5147,5,5,4
CUST_000219,2023-09-26,10,5153,5,5,5
CUST_000219,2023-11-29,9,5155,4,5,5
CUST_000220,2024-11-29,6,5174,4,4,3
CUST_000220,2025-01-13,8,5175,4,4,5
CUST_000221,2024-08-26,6,5190,3,4,3
CUST_000221,2025-04-05,7,5192,4,3,5
CUST_000222,2024-07-16,4,5206,2,2,2
CUST_000222,2024-12-31,7,5213,4,3,4
CUST_000223,2023-02-04,8,5219,3,5,4
CUST_000224,2023-08-03,7,5228,3,4,4
CUST_000224,2024-02-04,8,5231,4,5,4
CUST_000225,2023-04-17,10,5240,5,5,5
CUST_000225,2023-10-02,10,5249,5,5,5
CUST_000225,2024-02-28,10,5254,5,5,5
CUST_000226,2023-03-26,4,5271,3,2,1
CUST_000226,2023-10-29,8,5276,4,4,3
CUST_000226,2024-06-25,5,5279,3,3,4
CUST_000227,2024-07-02,10,5305,5,5,5
CUST_000228,2023-03-04,9,5330,4,5,4
CUST_000228,2024-08-19,6,5334,3,2,3
CUST_000228,2024-09-14,7,5335,3,3,3
CUST_000229,2024-10-02,10,5351,5,5,5
CUST_000229,2025-03-04,9,5357,4,5,4
CUST_000230,2023-09-02,7,5371,3,3,4
CUST_000230,2024-02-09,8,5373,4,3,3
CUST_000231,2023-01-15,8,5392,4,5,4
CUST_000231,2023-09-03,7,5398,3,4,4
CUST_000232,2023-01-27,3,5404,2,2,2
CUST_000233,2023-12-18,10,5439,5,5,5
CUST_000233,2024-12-13,9,5450,5,5,4
CUST_000233,2025-12-24,10,5460,5,5,5
CUST_000234,2023-05-03,9,5463,4,5,5
CUST_000234,2024-08-05,10,5471,5,5,5
CUST_000234,2025-01-13,9,5474,3,4,3
CUST_000235,2023-12-22,10,5502,5,5,5
CUST_000235,2024-09-21,10,5521,5,5,5
CUST_000236,2023-07-13,7,5533,4,4,5
CUST_000236,2025-04-18,6,5542,2,4,4
CUST_000236,2025-09-10,10,5545,5,5,5
CUST_000237,2023-09-26,8,5551,4,5,5
CUST_000237,2025-05-06,8,5555,4,4,5
CUST_000237,2025-10-23,9,5557,5,5,4
CUST_000238,2024-08-28,5,5568,2,3,2
CUST_000238,2025-08-07,7,5571,3,4,4
CUST_000239,2025-07-16,7,5587,3,3,3
CUST_000240,2024-07-09,10,5600,5,5,5
CUST_000240,2025-11-26,8,5608,4,4,4
CUST_000241,2023-06-09,10,5620,5,5,5
CUST_000241,2023-09-25,10,5624,5,5,5
CUST_000241,2024-11-21,10,5638,5,5,5
CUST_000242,2025-02-17,10,5668,5,5,5
CUST_000242,2025-11-12,8,5672,5,5,2
CUST_000243,2024-03-17,4,5675,1,2,2
CUST_000243,2025-03-16,4,5679,2,1,1
CUST_000243,2025-05-29,7,5680,5,4,3
CUST_000244,2025-12-25,7,5700,4,3,2
CUST_000245,2025-05-24,9,5719,4,5,4
CUST_000246,2024-03-10,10,5734,5,5,5
CUST_000246,2024-09-02,10,5737,5,5,5
CUST_000246,2025-03-22,10,5742,5,5,5
CUST_000247,2023-05-03,7,5750,3,3,3
CUST_000248,2024-10-13,10,5779,5,5,5
CUST_000248,2025-10-06,10,5789,5,5,5
CUST_000249,2023-07-12,9,5793,4,4,3
CUST_000249,2024-06-11,8,5796,4,4,3
CUST_000249,2025-05-26,6,5797,3,3,4
CUST_000250,2024-11-15,8,5809,4,5,5
CUST_000251,2023-05-30,10,5821,4,5,5
CUST_000251,2024-10-17,8,5829,4,3,5
CUST_000251,2025-10-13,10,5836,5,5,5
CUST_000252,2025-05-21,10,5854,4,5,5
CUST_000252,2025-06-11,10,5855,5,5,5
CUST_000253,2023-04-10,9,5861,5,4,3
CUST_000253,2023-09-08,4,5864,3,2,2
CUST_000253,2023-12-12,5,5868,3,3,3
CUST_000254,2025-11-30,8,5894,4,4,4
CUST_000255,2025-07-08,10,5917,5,5,5
CUST_000256,2025-12-06,6,5944,3,4,3
CUST_000257,2024-11-17,8,5955,5,4,4
CUST_000258,2023-05-02,10,5967,5,5,5
CUST_000258,2023-11-21,9,5969,5,4,5
CUST_000259,2024-07-31,10,5998,5,5,4
CUST_000260,2024-02-17,10,6029,5,5,5
CUST_000261,2023-03-28,8,6053,4,4,4
CUST_000261,2023-06-07,8,6057,4,3,4
CUST_000261,2023-12-11,10,6059,5,5,5
CUST_000262,2023-04-14,10,6072,4,5,4
CUST_000263,2024-03-26,10,6117,5,5,5
CUST_000264,2024-05-16,10,6151,5,5,5
CUST_000264,2024-08-28,10,6155,5,5,5
CUST_000265,2023-07-28,10,6165,5,5,3
CUST_000265,2025-03-17,10,6176,5,5,3
CUST_000265,2025-04-29,9,6177,5,5,5
CUST_000266,2023-11-25,10,6188,5,5,5
CUST_000266,2025-06-27,7,6200,4,3,3
CUST_000266,2025-07-31,8,6202,4,4,4
CUST_000267,2025-01-02,7,6220,3,3,3
