customer_id,complaint_date,complaint_type,severity,resolution_time_days,is_resolved,purchase_id
CUST_000079,2025-10-12,Customer Service,Low,14.0,1,1843
CUST_000080,2024-02-10,Product Defect,High,3.0,1,1849
CUST_000080,2024-12-17,Delivery Issue,High,8.0,1,1860
CUST_000080,2023-05-10,Product Defect,Low,14.0,1,1846
CUST_000081,2023-08-14,Product Defect,High,11.0,1,1871
CUST_000081,2024-11-06,Delivery Issue,Low,5.0,1,1883
CUST_000081,2024-12-14,Product Defect,Low,4.0,1,1885
CUST_000082,2024-04-14,Customer Service,Low,6.0,1,1917
CUST_000083,2023-03-16,Product Defect,Low,,0,1950
CUST_000083,2024-09-19,Customer Service,Low,5.0,1,1972
CUST_000084,2023-08-08,Billing Error,Low,4.0,1,1997
CUST_000084,2025-08-24,Delivery Issue,Medium,5.0,1,2010
CUST_000086,2025-11-06,Product Defect,Low,4.0,1,2044
CUST_000087,2023-05-07,Product Defect,Medium,8.0,1,2046
CUST_000088,2025-03-16,Billing Error,Medium,,0,2089
CUST_000089,2023-11-25,Customer Service,Medium,9.0,1,2103
CUST_000090,2025-02-05,Billing Error,Medium,6.0,1,2144
CUST_000090,2025-11-17,Customer Service,Medium,12.0,1,2151
CUST_000090,2023-11-19,Billing Error,High,,0,2135
CUST_000092,2023-06-08,Product Defect,High,,0,2184
CUST_000093,2025-03-13,Customer Service,Medium,7.0,1,2209
CUST_000096,2024-04-25,Product Defect,Low,11.0,1,2292
CUST_000097,2024-07-28,Customer Service,Low,,0,2315
CUST_000098,2025-12-05,Delivery Issue,Low,9.0,1,2363
CUST_000098,2024-10-16,Customer Service,Medium,6.0,1,2349
CUST_000099,2025-10-31,Delivery Issue,High,14.0,1,2384
CUST_000099,2023-02-27,Delivery Issue,Medium,3.0,1,2366
CUST_000100,2024-10-18,Delivery Issue,High,12.0,1,2395
CUST_000100,2025-11-06,Product Defect,Medium,12.0,1,2406
CUST_000102,2025-02-15,Customer Service,Medium,8.0,1,2446
CUST_000104,2025-04-20,Product Defect,Medium,11.0,1,2475
CUST_000105,2025-01-10,Customer Service,Medium,2.0,1,2499
CUST_000106,2025-08-07,Billing Error,Medium,12.0,1,2532
CUST_000107,2025-04-02,Customer Service,High,4.0,1,2556
CUST_000107,2025-05-23,Delivery Issue,Medium,3.0,1,2558
CUST_000107,2024-09-29,Product Defect,High,13.0,1,2549
CUST_000107,2025-12-15,Customer Service,Medium,4.0,1,2561
CUST_000107,2024-10-14,Delivery Issue,Low,8.0,1,2551
CUST_000108,2023-04-07,Delivery Issue,Low,10.0,1,2563
CUST_000108,2025-02-13,Delivery Issue,High,,0,2571
CUST_000110,2023-01-30,Product Defect,Medium,2.0,1,2608
CUST_000111,2023-10-30,Customer Service,Medium,6.0,1,2639
CUST_000113,2025-08-22,Product Defect,Medium,3.0,1,2696
CUST_000113,2025-09-03,Product Defect,Low,12.0,1,2697
CUST_000118,2024-01-23,Product Defect,Low,4.0,1,2815
CUST_000118,2023-11-02,Customer Service,Low,9.0,1,2811
CUST_000120,2025-09-20,Product Defect,Medium,1.0,1,2876
CUST_000122,2024-01-24,Delivery Issue,Low,7.0,1,2924
CUST_000123,2024-07-19,Delivery Issue,Medium,3.0,1,2951
CUST_000125,2023-07-27,Product Defect,Medium,3.0,1,2983
CUST_000125,2025-11-17,Billing Error,High,8.0,1,3000
CUST_000127,2025-04-02,Product Defect,Medium,8.0,1,3025
CUST_000127,2023-01-09,Product Defect,Low,11.0,1,3015
CUST_000128,2024-05-05,Other,Low,8.0,1,3042
CUST_000128,2023-09-20,Delivery Issue,Medium,9.0,1,3033
CUST_000131,2025-09-16,Delivery Issue,Low,5.0,1,3111
CUST_000134,2024-12-01,Product Defect,Low,11.0,1,3168
CUST_000134,2023-01-19,Delivery Issue,Low,6.0,1,3159
CUST_000134,2023-03-23,Customer Service,Low,11.0,1,3160
CUST_000136,2024-07-21,Product Defect,Low,8.0,1,3197
CUST_000136,2023-06-17,Billing Error,Low,2.0,1,3188
CUST_000137,2024-07-10,Product Defect,Medium,9.0,1,3225
CUST_000139,2023-09-25,Billing Error,Medium,5.0,1,3283
CUST_000140,2024-06-10,Billing Error,Medium,8.0,1,3296
CUST_000140,2025-02-28,Billing Error,Low,1.0,1,3297
CUST_000141,2023-08-30,Other,High,7.0,1,3308
CUST_000141,2023-07-15,Delivery Issue,Medium,8.0,1,3307
CUST_000143,2024-08-05,Billing Error,Low,7.0,1,3350
CUST_000145,2024-03-01,Product Defect,Low,8.0,1,3419
CUST_000145,2025-02-09,Delivery Issue,Medium,8.0,1,3424
CUST_000145,2025-06-05,Product Defect,Medium,7.0,1,3427
CUST_000147,2024-06-24,Billing Error,Medium,10.0,1,3457
CUST_000147,2025-12-27,Product Defect,Low,13.0,1,3468
CUST_000149,2024-11-19,Product Defect,Low,9.0,1,3512
CUST_000150,2023-07-11,Customer Service,Medium,11.0,1,3525
CUST_000151,2025-12-09,Customer Service,Low,1.0,1,3573
CUST_000151,2024-03-27,Other,High,,0,3566
CUST_000152,2024-04-23,Product Defect,High,3.0,1,3581
CUST_000152,2025-06-23,Other,Medium,1.0,1,3589
CUST_000152,2023-10-03,Delivery Issue,Low,,0,3578
CUST_000153,2023-12-25,Product Defect,Medium,1.0,1,3607
CUST_000153,2024-11-27,Customer Service,High,2.0,1,3622
CUST_000154,2024-03-02,Other,Medium,12.0,1,3650
CUST_000155,2025-08-31,Billing Error,High,4.0,1,3690
CUST_000155,2024-05-02,Product Defect,High,10.0,1,3677
CUST_000155,2023-01-11,Customer Service,Low,6.0,1,3661
CUST_000156,2024-11-09,Product Defect,Medium,6.0,1,3707
CUST_000157,2024-01-18,Other,Medium,2.0,1,3720
CUST_000159,2025-08-21,Customer Service,High,,0,3787
CUST_000159,2025-06-17,Other,High,10.0,1,3783
CUST_000159,2023-09-13,Billing Error,Low,,0,3771
CUST_000159,2023-06-08,Other,Medium,,0,3768
CUST_000160,2025-02-04,Product Defect,Low,13.0,1,3805
CUST_000161,2025-04-08,Billing Error,Low,,0,3822
CUST_000162,2024-11-18,Other,Medium,,0,3847
CUST_000163,2024-06-25,Product Defect,Low,13.0,1,3864
CUST_000164,2025-08-19,Customer Service,High,,0,3904
CUST_000164,2024-09-07,Customer Service,Low,12.0,1,3893
CUST_000165,2024-12-09,Customer Service,Low,11.0,1,3924
CUST_000167,2024-03-02,Customer Service,High,10.0,1,3964
CUST_000167,2023-08-14,Customer Service,Medium,7.0,1,3961
CUST_000168,2024-10-23,Product Defect,Low,11.0,1,3989
CUST_000168,2025-04-02,Customer Service,Medium,3.0,1,3992
CUST_000170,2023-06-17,Product Defect,High,3.0,1,4038
CUST_000171,2024-02-19,Delivery Issue,Medium,9.0,1,4056
CUST_000174,2024-08-02,Customer Service,Low,6.0,1,4147
CUST_000175,2025-01-22,Billing Error,Medium,12.0,1,4164
CUST_000175,2024-12-11,Product Defect,High,6.0,1,4162
CUST_000177,2024-11-24,Delivery Issue,High,14.0,1,4213
CUST_000178,2023-01-30,Product Defect,Medium,5.0,1,4227
CUST_000180,2025-07-14,Delivery Issue,Medium,7.0,1,4291
CUST_000181,2023-08-01,Product Defect,Medium,9.0,1,4297
CUST_000182,2023-01-13,Delivery Issue,High,9.0,1,4307
CUST_000183,2025-10-16,Customer Service,Low,,0,4348
CUST_000184,2023-02-17,Delivery Issue,Low,10.0,1,4352
CUST_000184,2025-01-20,Delivery Issue,Low,6.0,1,4366
CUST_000185,2024-01-26,Other,High,10.0,1,4387
CUST_000185,2023-12-17,Delivery Issue,Medium,11.0,1,4383
CUST_000185,2025-12-09,Other,Medium,2.0,1,4407
CUST_000186,2023-09-19,Product Defect,Low,2.0,1,4413
CUST_000186,2023-07-13,Other,Medium,,0,4411
CUST_000187,2025-11-25,Product Defect,Low,,0,4430
CUST_000187,2023-09-14,Product Defect,Low,11.0,1,4423
CUST_000189,2024-07-07,Other,Low,5.0,1,4467
CUST_000189,2023-10-04,Billing Error,Low,5.0,1,4459
CUST_000189,2023-08-05,Billing Error,Low,4.0,1,4457
CUST_000189,2023-04-22,Billing Error,Low,12.0,1,4453
CUST_000189,2024-10-31,Customer Service,Medium,9.0,1,4470
CUST_000190,2025-01-13,Customer Service,Medium,2.0,1,4499
CUST_000192,2023-04-20,Customer Service,Low,5.0,1,4534
CUST_000193,2025-11-02,Billing Error,Low,,0,4565
CUST_000193,2025-02-11,Customer Service,Medium,5.0,1,4558
CUST_000194,2025-10-30,Delivery Issue,Low,,0,4615
CUST_000194,2023-07-22,Customer Service,Low,3.0,1,4577
CUST_000195,2023-11-05,Product Defect,Medium,2.0,1,4617
CUST_000198,2025-12-31,Product Defect,Medium,9.0,1,4676
CUST_000199,2024-08-25,Billing Error,Low,3.0,1,4695
CUST_000201,2024-04-21,Other,Low,6.0,1,4741
CUST_000202,2025-10-02,Customer Service,Medium,4.0,1,4763
CUST_000203,2024-04-18,Product Defect,Low,12.0,1,4772
CUST_000204,2024-04-20,Other,High,3.0,1,4794
CUST_000205,2023-06-12,Product Defect,Medium,4.0,1,4817
CUST_000205,2025-12-17,Delivery Issue,Medium,10.0,1,4830
CUST_000205,2025-01-04,Delivery Issue,Low,8.0,1,4824
CUST_000206,2025-05-15,Delivery Issue,Medium,6.0,1,4848
CUST_000206,2025-11-30,Customer Service,Medium,9.0,1,4852
CUST_000206,2024-05-25,Customer Service,Low,9.0,1,4840
CUST_000207,2023-11-08,Billing Error,Medium,5.0,1,4863
CUST_000208,2024-10-03,Delivery Issue,High,,0,4912
CUST_000208,2025-10-14,Product Defect,Medium,9.0,1,4926
CUST_000208,2024-11-17,Delivery Issue,Medium,10.0,1,4914
CUST_000211,2025-07-20,Product Defect,Medium,14.0,1,4991
CUST_000213,2024-11-16,Product Defect,Low,4.0,1,5026
CUST_000213,2023-06-14,Product Defect,Low,4.0,1,5012
CUST_000214,2024-11-13,Delivery Issue,Medium,2.0,1,5053
CUST_000217,2023-06-03,Product Defect,Medium,13.0,1,5095
CUST_000219,2023-04-01,Product Defect,Low,11.0,1,5149
CUST_000219,2025-10-16,Billing Error,Low,3.0,1,5169
CUST_000221,2024-06-17,Other,Medium,8.0,1,5187
CUST_000221,2025-08-05,Billing Error,High,6.0,1,5193
CUST_000222,2025-03-22,Billing Error,High,11.0,1,5217
CUST_000222,2024-07-27,Other,Low,12.0,1,5208
CUST_000225,2025-06-09,Customer Service,Low,3.0,1,5261
CUST_000226,2023-03-22,Customer Service,High,11.0,1,5271
CUST_000226,2023-10-23,Delivery Issue,Medium,8.0,1,5276
CUST_000226,2023-01-06,Other,High,7.0,1,5270
CUST_000227,2023-12-20,Product Defect,Low,1.0,1,5299
CUST_000227,2025-05-09,Product Defect,Medium,8.0,1,5317
CUST_000229,2023-05-10,Product Defect,Low,6.0,1,5342
CUST_000231,2023-09-12,Customer Service,High,11.0,1,5399
CUST_000233,2024-12-14,Customer Service,Medium,11.0,1,5450
CUST_000234,2024-04-04,Delivery Issue,Medium,5.0,1,5469
CUST_000234,2025-07-25,Customer Service,Low,3.0,1,5479
CUST_000237,2024-12-04,Product Defect,High,,0,5553
CUST_000237,2023-11-29,Product Defect,High,6.0,1,5552
CUST_000240,2023-08-25,Product Defect,High,6.0,1,5594
CUST_000241,2025-08-12,Product Defect,Low,6.0,1,5655
CUST_000242,2024-02-07,Billing Error,Low,,0,5665
CUST_000242,2025-06-10,Delivery Issue,High,7.0,1,5669
CUST_000245,2023-01-26,Billing Error,Medium,5.0,1,5701
CUST_000245,2025-06-28,Billing Error,Low,3.0,1,5720
CUST_000246,2025-03-25,Product Defect,Medium,4.0,1,5742
CUST_000248,2024-10-13,Billing Error,Low,1.0,1,5780
CUST_000248,2024-07-25,Delivery Issue,High,,0,5777
CUST_000248,2024-01-13,Other,Low,1.0,1,5772
CUST_000249,2025-05-26,Billing Error,Low,,0,5797
CUST_000250,2024-10-24,Billing Error,High,12.0,1,5808
CUST_000252,2025-03-08,Product Defect,Low,8.0,1,5852
CUST_000252,2023-05-09,Product Defect,Low,10.0,1,5842
CUST_000253,2023-07-25,Customer Service,Medium,4.0,1,5863
CUST_000254,2023-03-28,Delivery Issue,Low,8.0,1,5879
CUST_000255,2023-03-05,Product Defect,Medium,9.0,1,5897
CUST_000257,2024-08-06,Customer Service,High,13.0,1,5954
CUST_000260,2025-06-03,Other,High,11.0,1,6046
CUST_000262,2024-01-30,Billing Error,High,10.0,1,6077
CUST_000264,2023-07-06,Product Defect,Low,,0,6139
CUST_000266,2024-02-28,Delivery Issue,Medium,9.0,1,6189
CUST_000266,2025-05-20,Product Defect,High,,0,6199
CUST_000267,2023-09-30,Billing Error,Low,6.0,1,6212
CUST_000267,2024-12-27,Billing Error,Low,7.0,1,6220
CUST_000268,2025-02-26,Billing Error,Medium,11.0,1,6239
CUST_000270,2024-04-20,Delivery Issue,Low,9.0,1,6264
CUST_000270,2025-06-26,Delivery Issue,Medium,11.0,1,6269
CUST_000272,2025-05-29,Billing Error,Medium,,0,6295
CUST_000272,2024-11-09,Product Defect,Medium,,0,6291
CUST_000273,2025-11-29,Product Defect,Low,10.0,1,6345
CUST_000274,2025-11-19,Customer Service,Medium,8.0,1,6359
CUST_000275,2023-08-09,Customer Service,Low,,0,6364
CUST_000275,2025-05-02,Other,Medium,,0,6374
CUST_000276,2025-05-15,Product Defect,Medium,14.0,1,6382
CUST_000280,2023-12-17,Delivery Issue,Low,9.0,1,6453
CUST_000280,2025-05-14,Delivery Issue,High,,0,6463
CUST_000280,2024-03-15,Product Defect,High,9.0,1,6457
CUST_000281,2025-07-18,Product Defect,High,13.0,1,6485
CUST_000281,2024-11-30,Product Defect,Low,8.0,1,6479
CUST_000281,2024-05-31,Billing Error,Low,10.0,1,6474
CUST_000282,2023-01-27,Product Defect,Medium,6.0,1,6496
CUST_000283,2024-05-14,Customer Service,High,,0,6524
CUST_000284,2024-02-05,Delivery Issue,Low,,0,6540
CUST_000284,2025-08-03,Delivery Issue,Low,8.0,1,6555
CUST_000285,2024-10-16,Product Defect,High,4.0,1,6581
CUST_000285,2023-11-11,Customer Service,High,6.0,1,6574
CUST_000289,2024-04-30,Delivery Issue,Low,10.0,1,6667
CUST_000290,2023-10-29,Other,High,10.0,1,6682
CUST_000291,2025-01-05,Product Defect,High,14.0,1,6706
CUST_000292,2024-01-29,Delivery Issue,Medium,10.0,1,6719
CUST_000292,2024-12-12,Product Defect,High,9.0,1,6721
CUST_000293,2024-05-17,Other,High,5.0,1,6737
CUST_000294,2023-02-23,Billing Error,High,11.0,1,6758
CUST_000294,2024-03-29,Product Defect,Medium,6.0,1,6763
CUST_000295,2023-10-21,Product Defect,Low,6.0,1,6777
CUST_000295,2023-10-14,Product Defect,High,8.0,1,6776
CUST_000295,2023-07-14,Delivery Issue,Medium,3.0,1,6774
CUST_000297,2025-03-01,Delivery Issue,Low,12.0,1,6819
CUST_000301,2023-09-17,Customer Service,Low,14.0,1,6881
CUST_000301,2024-02-13,Delivery Issue,Medium,6.0,1,6885
CUST_000302,2025-04-27,Billing Error,High,11.0,1,6917
CUST_000302,2025-02-26,Customer Service,High,7.0,1,6916
CUST_000302,2023-02-24,Product Defect,High,11.0,1,6897
CUST_000302,2023-03-04,Other,Low,9.0,1,6898
CUST_000304,2024-01-13,Billing Error,Medium,11.0,1,6952
CUST_000304,2023-12-22,Delivery Issue,Low,10.0,1,6949
CUST_000306,2023-05-15,Delivery Issue,Low,5.0,1,6997
CUST_000307,2025-07-12,Product Defect,High,10.0,1,7049
CUST_000308,2025-02-12,Product Defect,Medium,2.0,1,7087
CUST_000308,2023-12-02,Delivery Issue,High,12.0,1,7064
CUST_000309,2023-05-08,Product Defect,Medium,12.0,1,7100
CUST_000310,2025-08-26,Product Defect,Low,11.0,1,7162
CUST_000310,2025-05-25,Delivery Issue,Low,3.0,1,7160
CUST_000311,2025-01-22,Delivery Issue,Medium,,0,7172
CUST_000311,2024-05-14,Billing Error,Low,4.0,1,7167
CUST_000311,2025-05-02,Delivery Issue,High,9.0,1,7173
CUST_000311,2025-11-09,Billing Error,Medium,8.0,1,7174
CUST_000313,2023-09-19,Product Defect,Low,7.0,1,7200
CUST_000313,2025-07-01,Product Defect,Medium,14.0,1,7207
CUST_000316,2023-10-27,Billing Error,Medium,,0,7256
CUST_000316,2023-02-22,Billing Error,Low,1.0,1,7252
CUST_000316,2024-05-30,Product Defect,High,4.0,1,7260
CUST_000318,2024-01-24,Other,Medium,,0,7291
CUST_000318,2025-12-09,Delivery Issue,Low,2.0,1,7305
CUST_000318,2024-09-15,Customer Service,Low,4.0,1,7295
CUST_000318,2024-02-15,Delivery Issue,Low,,0,7292
CUST_000319,2023-10-06,Other,Low,,0,7309
CUST_000319,2025-10-18,Billing Error,Medium,,0,7327
CUST_000320,2023-01-23,Billing Error,Low,,0,7330
CUST_000320,2023-08-12,Other,High,8.0,1,7337
CUST_000321,2023-01-29,Product Defect,Low,3.0,1,7375
CUST_000322,2024-01-24,Product Defect,Medium,14.0,1,7402
CUST_000322,2025-07-23,Product Defect,Low,3.0,1,7416
CUST_000323,2024-01-19,Customer Service,High,9.0,1,7429
CUST_000324,2025-02-08,Customer Service,High,9.0,1,7464
CUST_000325,2024-04-08,Billing Error,Low,,0,7481
CUST_000326,2023-02-28,Delivery Issue,Medium,12.0,1,7490
CUST_000327,2023-05-15,Billing Error,High,6.0,1,7511
CUST_000327,2023-09-20,Other,Low,10.0,1,7514
CUST_000329,2023-01-16,Product Defect,Medium,2.0,1,7547
CUST_000331,2023-04-08,Product Defect,Medium,12.0,1,7585
CUST_000331,2025-06-30,Billing Error,Medium,10.0,1,7604
CUST_000333,2023-12-18,Delivery Issue,Medium,7.0,1,7636
CUST_000334,2024-05-27,Product Defect,Low,14.0,1,7660
CUST_000335,2023-10-11,Billing Error,High,9.0,1,7670
CUST_000336,2023-09-03,Product Defect,Low,10.0,1,7689
CUST_000336,2024-10-20,Delivery Issue,Low,6.0,1,7702
CUST_000338,2024-07-12,Delivery Issue,High,,0,7731
CUST_000339,2024-04-16,Product Defect,Low,,0,7749
CUST_000339,2023-06-21,Customer Service,Low,,0,7741
CUST_000339,2023-11-04,Product Defect,Medium,4.0,1,7745
CUST_000340,2024-12-17,Product Defect,Medium,,0,7787
CUST_000342,2023-09-18,Customer Service,Medium,,0,7828
CUST_000342,2024-12-21,Delivery Issue,Medium,7.0,1,7840
CUST_000343,2023-03-10,Delivery Issue,Low,,0,7852
CUST_000343,2025-06-27,Customer Service,Low,,0,7867
CUST_000345,2025-01-14,Other,High,2.0,1,7907
CUST_000346,2024-07-10,Delivery Issue,High,11.0,1,7934
CUST_000346,2025-03-28,Customer Service,Medium,5.0,1,7940
CUST_000347,2023-03-17,Product Defect,Low,11.0,1,7949
CUST_000348,2023-04-23,Billing Error,Low,8.0,1,7974
CUST_000348,2024-10-19,Other,Medium,,0,7988
CUST_000349,2025-01-17,Product Defect,Low,8.0,1,8011
CUST_000350,2024-06-19,Product Defect,Low,,0,8031
CUST_000350,2025-07-05,Product Defect,Medium,7.0,1,8039
CUST_000350,2023-10-01,Delivery Issue,Medium,2.0,1,8021
CUST_000351,2025-12-02,Customer Service,Low,11.0,1,8057
CUST_000351,2025-01-22,Delivery Issue,Medium,2.0,1,8053
CUST_000351,2024-03-30,Billing Error,Low,6.0,1,8049
CUST_000351,2023-01-28,Customer Service,Medium,5.0,1,8043
CUST_000351,2025-02-26,Billing Error,Low,6.0,1,8054
CUST_000353,2024-06-21,Other,Low,5.0,1,8085
CUST_000353,2025-10-25,Customer Service,High,1.0,1,8103
CUST_000353,2023-09-20,Other,Medium,14.0,1,8074
CUST_000353,2023-03-14,Customer Service,High,,0,8069
CUST_000354,2024-04-02,Product Defect,Medium,13.0,1,8114
CUST_000356,2024-01-16,Delivery Issue,Medium,14.0,1,8166
CUST_000356,2025-06-02,Product Defect,Medium,,0,8188
CUST_000356,2025-06-11,Product Defect,Medium,10.0,1,8189
CUST_000357,2024-07-19,Product Defect,High,1.0,1,8218
CUST_000358,2024-12-09,Product Defect,Low,,0,8245
CUST_000358,2024-08-09,Customer Service,Medium,2.0,1,8242
CUST_000360,2025-04-19,Delivery Issue,High,4.0,1,8308
CUST_000361,2025-06-17,Delivery Issue,Medium,12.0,1,8344
CUST_000362,2025-01-26,Delivery Issue,Medium,6.0,1,8366
CUST_000364,2025-01-01,Delivery Issue,Medium,5.0,1,8407
CUST_000364,2024-03-16,Delivery Issue,High,5.0,1,8401
CUST_000364,2023-03-22,Billing Error,Low,2.0,1,8391
CUST_000365,2023-05-23,Delivery Issue,Low,,0,8420
CUST_000366,2025-12-22,Other,Medium,,0,8457
CUST_000367,2025-02-24,Delivery Issue,Medium,3.0,1,8478
CUST_000367,2025-12-20,Delivery Issue,Low,9.0,1,8486
CUST_000368,2025-09-15,Product Defect,Medium,,0,8522
CUST_000369,2024-06-20,Billing Error,Low,11.0,1,8535
CUST_000369,2025-08-20,Other,Medium,1.0,1,8542
CUST_000369,2025-09-08,Delivery Issue,High,5.0,1,8543
CUST_000369,2025-09-07,Product Defect,Medium,9.0,1,8544
CUST_000372,2024-04-04,Delivery Issue,Medium,,0,8598
CUST_000372,2024-11-09,Other,High,9.0,1,8604
CUST_000372,2024-09-10,Delivery Issue,High,3.0,1,8601
CUST_000373,2025-09-03,Delivery Issue,Low,3.0,1,8617
CUST_000376,2025-04-28,Billing Error,High,,0,8686
CUST_000376,2025-05-06,Delivery Issue,Low,2.0,1,8687
CUST_000377,2025-08-24,Billing Error,High,10.0,1,8716
CUST_000379,2023-08-28,Product Defect,Low,8.0,1,8750
CUST_000381,2024-10-31,Product Defect,High,13.0,1,8830
